Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Abington,33.9,6.612053832650673,113.0,17090,37.5,34.2,26.0,0.3510825043885313,0.994733762434172,1.8724400234055003,6.0,17.0,32.0
Acton,70.7,2.9748563511145525,73.0,24539,77.3,56.2,61.2,0.08150291372916582,0.5705203961041607,0.8557805941562411,2.0,14.0,21.0
Acushnet,72.7,2.710280373831776,29.0,10700,45.4,79.9,80.9,0.2803738317757009,0.2803738317757009,0.4672897196261682,3.0,3.0,5.0
Adams,10.2,12.887887887887887,103.0,7992,19.7,6.9,12.7,0.6256256256256256,2.3773773773773774,2.627627627627628,5.0,19.0,21.0
Agawam,37.5,6.191519705033219,178.0,28749,45.7,28.3,42.8,0.27827054854081884,1.1478660127308775,1.3565689241364918,8.0,33.0,39.0
Amesbury,28.0,7.265709258102969,128.0,17617,71.4,13.5,39.5,0.1135267071578589,1.7596639609468125,1.4190838394732361,2.0,31.0,25.0
Amherst,53.9,4.4158188782356245,181.0,40989,56.6,84.9,11.5,0.19517431506013808,0.21957110444265535,2.7812339896069678,8.0,9.0,114.0
Andover,56.6,4.062068405231944,150.0,36927,58.2,50.7,47.4,0.1895631922441574,0.6228504888022314,1.2457009776044627,7.0,23.0,46.0
Arlington,87.8,1.8042112412973341,85.0,47112,64.1,77.6,93.8,0.14858210222448634,0.2971642044489727,0.16980811682798438,7.0,14.0,8.0
Ashburnham,63.5,3.526525605642441,23.0,6522,90.6,51.3,30.3,0.0,0.6133088009812941,1.6865992026985586,0.0,4.0,11.0
Ashby,44.1,5.198776758409786,17.0,3270,90.6,38.2,15.1,0.0,0.9174311926605505,2.4464831804281344,0.0,3.0,8.0
Ashland,86.8,1.9081016966634006,37.0,19391,73.4,81.2,72.7,0.1031406322520757,0.25785158063018926,0.6188437935124542,2.0,5.0,12.0
Athol,36.5,6.278397356464271,76.0,12105,22.4,42.1,57.2,0.5782734407269723,0.8261049153242462,0.9087154068566707,7.0,10.0,11.0
Attleboro,37.8,6.137835828820219,289.0,47085,28.0,35.5,59.9,0.4672400976956568,0.9769565679091006,0.8707656366146331,22.0,46.0,41.0
Auburn,28.6,7.215840212434336,125.0,17323,32.9,37.5,15.5,0.4040870518963228,0.923627547191595,2.424522311377937,7.0,16.0,42.0
Avon,36.8,6.248698187877525,30.0,4801,14.5,50.3,92.1,0.8331597583836701,0.6248698187877526,0.20828993959591752,4.0,3.0,1.0
Ayer,54.3,4.328523862375139,39.0,9010,40.5,74.3,31.6,0.3329633740288568,0.3329633740288568,1.664816870144284,3.0,3.0,15.0
Barnstable,11.2,12.301579338162991,613.0,49831,13.2,10.5,22.7,0.8629166583050711,2.006782926290863,1.966647267765046,43.0,100.0,98.0
Barre,18.4,9.234594210619782,52.0,5631,9.5,38.8,48.0,1.0655301012253595,0.887941751021133,1.2431184514295863,6.0,5.0,7.0
Becket,55.6,4.162330905306972,8.0,1922,90.6,32.9,53.3,0.0,1.040582726326743,1.040582726326743,0.0,2.0,2.0
Bedford,94.1,1.0698762955533265,16.0,14955,66.1,95.4,83.9,0.13373453694416582,0.0,0.40120361083249745,2.0,0.0,6.0
Belchertown,79.9,2.276867030965392,35.0,15372,78.9,69.1,63.8,0.06505334374186833,0.39032006245121,0.78064012490242,1.0,6.0,12.0
Bellingham,35.9,6.334037115235026,114.0,17998,20.4,57.6,32.6,0.611179019891099,0.55561729081009,1.611290143349261,11.0,10.0,29.0
Belmont,95.4,1.0203337949129072,28.0,27442,78.0,85.2,97.7,0.07288098535092194,0.21864295605276582,0.0,2.0,6.0,0.0
Berkley,65.8,3.337202553685432,23.0,6892,64.8,54.9,60.5,0.14509576320371445,0.5803830528148578,0.8705745792222868,1.0,4.0,6.0
Berlin,84.2,2.012072434607646,7.0,3479,90.6,95.4,21.1,0.0,0.0,2.012072434607646,0.0,0.0,7.0
Bernardston,48.0,4.741583688952111,10.0,2109,90.6,36.5,25.3,0.0,0.948316737790422,1.896633475580844,0.0,2.0,4.0
Beverly,31.9,6.709390833583972,290.0,43223,35.5,23.4,58.2,0.37017328737015015,1.3187423362561599,0.902297387964741,16.0,57.0,39.0
Billerica,53.0,4.513937363302155,194.0,42978,53.3,37.2,75.7,0.2326771836753688,0.9307087347014752,0.5584252408208852,10.0,40.0,24.0
Blackstone,42.1,5.653936419884787,53.0,9374,73.0,16.1,88.8,0.10667804565820355,1.6001706848730533,0.3200341369746106,1.0,15.0,3.0
Bolton,95.7,0.860733344809778,5.0,5809,90.6,87.2,87.8,0.0,0.17214666896195557,0.34429333792391115,0.0,1.0,2.0
Boston,12.8,11.825533292350821,7964.0,673458,7.6,20.4,26.6,1.1359282984239554,1.4254786490026103,1.869455853223215,765.0,960.0,1259.0
Bourne,22.7,8.289448020284766,170.0,20508,39.1,22.4,14.1,0.341330212599961,1.365320850399844,2.4868344060854297,7.0,28.0,51.0
Boxborough,81.6,2.15633423180593,12.0,5565,90.6,58.6,77.0,0.0,0.5390835579514826,0.5390835579514826,0.0,3.0,3.0
Boxford,97.7,0.11999040076793857,1.0,8334,90.6,95.4,95.1,0.0,0.0,0.11999040076793857,0.0,0.0,1.0
Boylston,88.8,1.777251184834123,9.0,5064,90.6,53.0,97.7,0.0,0.5924170616113744,0.0,0.0,3.0,0.0
Braintree,10.5,12.623294322072876,494.0,39134,10.5,8.9,40.8,0.9710226401594522,2.1209178719272246,1.4054275054939438,38.0,83.0,55.0
Brewster,71.1,2.871637790753326,30.0,10447,57.2,69.4,64.5,0.1914425193835551,0.3828850387671102,0.7657700775342204,2.0,4.0,8.0
Bridgewater,74.7,2.5713991840093255,75.0,29167,73.7,87.5,36.5,0.10285596736037303,0.17142661226728836,1.5428395104055954,3.0,5.0,45.0
Brimfield,93.8,1.0715242432360033,4.0,3733,90.6,95.4,52.3,0.0,0.0,1.0715242432360033,0.0,0.0,4.0
Brockton,6.6,14.897719968238363,1576.0,105788,9.9,4.3,57.6,0.9830982720157295,3.0249177600483987,0.9074753280145196,104.0,320.0,96.0
Brookfield,57.6,4.0,14.0,3500,44.1,78.8,29.3,0.28571428571428575,0.28571428571428575,1.7142857142857142,1.0,1.0,6.0
Brookline,60.5,3.7700430191630816,241.0,63925,29.6,68.8,83.2,0.4380132968322253,0.39108330074305825,0.4067266327727806,28.0,25.0,26.0
Burlington,39.8,5.893909626719057,159.0,26977,17.1,80.6,34.9,0.704303666085925,0.2594802980316566,1.593950402194462,19.0,7.0,43.0
Cambridge,16.8,10.05066591850544,1218.0,121186,12.2,26.3,27.6,0.907695608403611,1.2295149604739821,1.8236429950654367,110.0,149.0,221.0
Canton,50.7,4.609943170528156,116.0,25163,29.9,47.4,84.2,0.43714978341215277,0.6755951198187815,0.39740889401104795,11.0,17.0,10.0
Carlisle,96.1,0.7523039307880384,4.0,5317,90.6,86.8,93.1,0.0,0.1880759826970096,0.1880759826970096,0.0,1.0,1.0
Carver,57.9,3.977320809003977,47.0,11817,61.2,44.4,61.8,0.16924769400016923,0.7616146230007617,0.8462384700008462,2.0,9.0,10.0
Charlton,72.0,2.7928854916948405,38.0,13606,64.5,65.1,66.1,0.14699397324709687,0.44098191974129064,0.7349698662354843,2.0,6.0,10.0
Chatham,35.2,6.407390850841901,43.0,6711,28.9,32.6,53.0,0.4470272686633885,1.0430636268812397,1.0430636268812397,3.0,7.0,7.0
Chelmsford,25.7,7.631315454766866,282.0,36953,20.1,28.6,51.3,0.6224122534029713,1.1365788975184694,1.1095174951966011,23.0,42.0,41.0
Chelsea,2.0,22.909678220897003,922.0,40245,2.6,2.3,10.9,1.6648030811280905,3.9011057274195555,2.882345632997888,67.0,157.0,116.0
Cheshire,67.8,3.134796238244514,10.0,3190,90.6,49.7,46.4,0.0,0.6269592476489029,1.2539184952978057,0.0,2.0,4.0
Chicopee,10.9,12.404976435961792,687.0,55381,19.4,7.2,14.5,0.6319856990664668,2.2570917823802388,2.4737725934887416,35.0,125.0,137.0
Chilmark,12.2,12.00960768614892,15.0,1249,15.5,15.8,8.2,0.8006405124099278,1.6012810248198557,3.2025620496397114,1.0,2.0,4.0
