Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Abington,57.5,29.72498537156232,508,17090,63.9,58.1,68.5,2.1650087770626096,2.516091281451141,11.351667641895844,37.0,43.0,194.0
Acton,84.0,11.165899180895718,274,24539,90.5,83.7,85.1,0.5705203961041607,0.9780349647499897,5.379192306124944,14.0,24.0,132.0
Acushnet,77.4,15.794392523364484,169,10700,78.2,82.9,82.9,1.3084112149532712,1.02803738317757,6.168224299065421,14.0,11.0,66.0
Adams,35.3,45.2952952952953,362,7992,49.9,39.0,48.1,3.003003003003003,3.8788788788788793,18.643643643643642,24.0,31.0,149.0
Agawam,39.8,42.15798810393405,1212,28749,55.4,31.0,57.8,2.678354029705381,4.521896413788306,15.200528714042228,77.0,130.0,437.0
Amesbury,64.3,24.975875574728953,440,17617,76.3,83.9,58.4,1.4190838394732361,0.9649770108418005,14.985525344837374,25.0,17.0,264.0
Amherst,75.5,17.150942935909633,703,40989,70.3,87.8,83.2,1.7809656249237602,0.7319036814755179,6.050403766864281,73.0,30.0,248.0
Andover,74.7,17.737698702846156,655,36927,86.5,78.3,72.8,0.8124136810463888,1.2998618896742222,9.776044628591546,30.0,48.0,361.0
Aquinnah,81.0,13.303769401330378,6,451,63.0,100.0,93.8,2.2172949002217295,0.0,2.2172949002217295,1.0,0.0,1.0
Arlington,83.4,11.610629988113432,547,47112,91.2,82.0,84.1,0.5306503650874512,1.0825267447784006,5.709797928340975,25.0,51.0,269.0
Ashburnham,68.7,21.925789635081262,143,6522,77.0,61.7,77.4,1.3799448022079117,2.2999080036798527,8.126341613002147,9.0,15.0,53.0
Ashby,84.7,10.703363914373089,35,3270,89.8,79.6,89.0,0.6116207951070336,1.2232415902140672,3.9755351681957185,2.0,4.0,13.0
Ashfield,93.2,4.747774480712166,8,1685,90.1,100.0,95.1,0.5934718100890207,0.0,1.7804154302670623,1.0,0.0,3.0
Ashland,76.6,16.347790211954,317,19391,86.2,60.5,85.8,0.8251250580166056,2.372234541797741,5.105461296477747,16.0,46.0,99.0
Athol,37.6,43.70095002065262,529,12105,28.4,61.4,57.5,4.29574555968608,2.313093762907889,15.282940933498555,52.0,28.0,185.0
Attleboro,41.2,41.13836678347669,1937,47085,64.6,55.0,37.0,2.123818625889349,2.697249654879473,22.42752468939153,100.0,127.0,1056.0
Auburn,41.5,40.92824568492755,709,17323,40.3,48.5,62.0,3.579056745367431,3.117242971771633,13.681233042775501,62.0,54.0,237.0
Avon,53.6,32.493230576963136,156,4801,79.2,35.4,61.8,1.2497396375755052,4.16579879191835,13.747136013330556,6.0,20.0,66.0
Ayer,61.9,26.637069922308545,240,9010,55.6,77.8,74.1,2.6637069922308543,1.3318534961154271,9.322974472807992,24.0,12.0,84.0
Barnstable,36.7,44.32983484176516,2209,49831,40.5,50.5,51.2,3.5720736087977363,2.9700387309104777,17.559350605045054,178.0,148.0,875.0
Barre,65.0,24.507192328183272,138,5631,52.6,79.3,81.7,2.841413603267626,1.2431184514295863,6.570768957556385,16.0,7.0,37.0
Becket,33.1,46.82622268470343,90,1922,56.6,9.5,58.1,2.6014568158168574,6.243496357960457,15.088449531737774,5.0,12.0,29.0
Bedford,89.9,7.087930458040789,106,14955,98.9,87.7,87.4,0.06686726847208291,0.7355399531929121,4.546974256101639,1.0,11.0,68.0
Belchertown,65.8,23.939630497007546,368,15372,66.4,67.5,77.8,2.0166536559979185,1.95160031225605,8.001561280249804,31.0,30.0,123.0
Bellingham,59.8,28.114234914990554,506,17998,60.2,72.2,69.0,2.389154350483387,1.6668518724302699,11.16790754528281,43.0,30.0,201.0
Belmont,77.1,16.03381677720283,440,27442,90.9,67.2,79.5,0.5466073901319146,1.9677866044748924,7.397420013118578,15.0,54.0,203.0
Berkley,78.7,14.944863609982589,103,6892,80.7,85.5,81.9,1.1607661056297156,0.8705745792222868,6.52930934416715,8.0,6.0,45.0
Berlin,81.9,12.647312446105202,44,3479,90.4,80.8,82.4,0.5748778384593274,1.1497556769186548,6.323656223052601,2.0,4.0,22.0
Bernardston,47.2,36.98435277382646,78,2109,68.4,28.2,63.1,1.896633475580844,4.741583688952111,13.276434329065909,4.0,10.0,28.0
Beverly,73.8,18.346713555283067,793,43223,75.3,82.3,78.5,1.4806931494806006,1.0642482011891816,7.750503204312519,64.0,46.0,335.0
Billerica,69.6,21.31323002466378,916,42978,84.5,81.8,62.8,0.9307087347014752,1.0935827632742334,13.378938061333706,40.0,47.0,575.0
Blackstone,83.2,11.73458502240239,110,9374,87.6,85.8,84.9,0.7467463196074248,0.8534243652656284,5.44058032856838,7.0,8.0,51.0
Bolton,68.8,21.86262695816836,127,5809,65.6,77.0,79.4,2.065760027543467,1.3771733516956446,7.40230676536409,12.0,8.0,43.0
Boston,0.0,72.38313302388568,48747,673458,9.4,36.9,5.7,5.437607096507874,4.046280540137618,33.05625592093345,3662.0,2725.0,22262.0
Bourne,40.1,41.93485469085235,860,20508,58.6,43.0,47.6,2.4868344060854297,3.5595865028281644,18.82192315194071,51.0,73.0,386.0
Boxborough,81.5,12.93800539083558,72,5565,76.0,97.0,85.5,1.4375561545372866,0.17969451931716082,5.211141060197663,8.0,1.0,29.0
Boxford,95.0,3.479721622270218,29,8334,100.0,98.0,91.3,0.0,0.11999040076793857,3.1197504199664023,0.0,1.0,26.0
Boylston,72.1,19.549763033175356,99,5064,67.1,73.7,86.3,1.9747235387045812,1.5797788309636651,4.936808846761453,10.0,8.0,25.0
Braintree,59.2,28.54295497521337,1117,39134,60.8,68.9,68.9,2.350896918280779,1.8653855982010528,11.192313589206316,92.0,73.0,438.0
Brewster,79.9,14.071025174691298,147,10447,79.3,84.0,86.2,1.2443763759931081,0.9572125969177755,4.9775055039724325,13.0,10.0,52.0
Bridgewater,84.3,11.005588507559914,321,29167,87.4,79.4,90.2,0.7542770939760688,1.2342716083244762,3.5313882127061405,22.0,36.0,103.0
Brimfield,85.5,10.179480310742031,38,3733,95.5,82.1,84.4,0.2678810608090008,1.0715242432360033,5.625502276989017,1.0,4.0,21.0
Brockton,0.0,73.42042575717473,7767,105788,4.4,0.0,37.0,5.737890876091806,7.439407116119031,22.4127500283586,607.0,787.0,2371.0
Brookfield,75.1,17.428571428571427,61,3500,71.4,85.7,82.5,1.7142857142857142,0.8571428571428571,6.285714285714286,6.0,3.0,22.0
Brookline,75.5,17.17637856863512,1098,63925,85.9,81.2,73.4,0.8447399296050059,1.1263199061400078,9.573719202190066,54.0,72.0,612.0
Burlington,60.4,27.727323275382734,748,26977,65.4,74.1,64.8,2.075842384253253,1.5568817881899395,12.67746598954665,56.0,42.0,342.0
Cambridge,16.4,58.50510785074183,7090,121186,31.5,38.7,25.7,4.109385572590893,3.903091116135527,26.248906639380788,498.0,473.0,3181.0
Canton,62.2,26.467432341135797,666,25163,52.3,79.5,76.5,2.8613440368795455,1.2319675714342486,8.464809442435321,72.0,31.0,213.0
Carlisle,84.7,10.720331013729547,57,5317,90.6,96.9,79.6,0.5642279480910288,0.1880759826970096,7.334963325183374,3.0,1.0,39.0
Carver,75.2,17.34788863501735,205,11817,78.8,83.1,77.9,1.2693577050012694,1.0154861640010155,7.954641618007954,15.0,12.0,94.0
Charlton,75.1,17.41878582978098,237,13606,79.2,78.0,80.0,1.2494487726003234,1.3229457592238718,7.202704689107747,17.0,18.0,98.0
Chatham,65.9,23.84145432871405,160,6711,77.6,67.7,68.5,1.3410818059901655,1.9371181642080166,11.324690806139175,9.0,13.0,76.0
Chelmsford,70.6,20.59372716694179,761,36953,82.4,85.6,64.7,1.0553946905528646,0.8659648742997862,12.71885909127811,39.0,32.0,470.0
