Full_Address,Distance_Miles
"Abington, MA 02351",21.38
"Acushnet, MA 02743",32.42
"Allston, MA 02134",37.08
"Ashland, MA 01721",30.24
"Assonet, MA 02702",25.86
"Attleboro, MA 02703",11.55
"Attleboro Falls, MA 02763",8.19
"Auburndale, MA 02466",28.32
"Avon, MA 02322",16.09
"Barrington, RI 02806",30.88
"Bedford, MA 01730",39.59
"Bellingham, MA 02019",15.73
"Belmont, MA 02478",39.97
"Berkley, MA 02779",24.15
"Berlin, MA 01503",38.88
"Blackstone, MA 01504",20.07
"Boston, MA 02108",32.53
"Braintree, MA 02184",24.15
"Bridgewater, MA 02324",17.88
"Brighton, MA 02135",30.6
"Bristol, RI 02809",37.5
"Brockton, MA 02301",11.72
"Brookline, MA 02445",31.11
"Buzzards Bay, MA 02532",39.92
"Cambridge, MA 02138",38.91
"Canton, MA 02021",15.78
"Carver, MA 02330",35.26
"Central Falls, RI 02863",15.54
"Charlestown, MA 02129",35.89
"Chelsea, MA 02150",36.63
"Chepachet, RI 02814",34.18
"Chestnut Hill, MA 02467",29.72
"Clayville, RI 02815",39.98
"Cohasset, MA 02025",37.42
"Concord, MA 01742",39.25
"Cranston, RI 02910",24.46
"Cumberland, RI 02864",15.69
"Dedham, MA 02026",21.33
"Dighton, MA 02715",18.26
"Dorchester, MA 02121",24.12
"Dorchester Center, MA 02124",27.82
"Douglas, MA 01516",37.37
"Dover, MA 02030",24.37
"East Boston, MA 02128",35.05
"East Bridgewater, MA 02333",16.0
"East Freetown, MA 02717",31.07
"East Greenwich, RI 02818",36.69
"East Providence, RI 02914",23.77
"East Taunton, MA 02718",19.6
"East Walpole, MA 02032",10.31
"East Wareham, MA 02538",38.68
"East Weymouth, MA 02189",29.46
"Everett, MA 02149",38.02
"Fall River, MA 02720",31.25
"Fayville, MA 01745",33.51
"Foxboro, MA 02035",3.32
"Framingham, MA 01701",38.33
"Franklin, MA 02038",13.0
"Grafton, MA 01519",32.97
"Greenville, RI 02828",27.72
"Halifax, MA 02338",28.21
"Hanover, MA 02339",35.58
"Hanscom AFB, MA 01731",38.61
"Hanson, MA 02341",21.46
"Harrisville, RI 02830",32.13
"Hingham, MA 02043",33.61
"Holbrook, MA 02343",18.83
"Holliston, MA 01746",23.63
"Hope, RI 02831",34.85
"Hopedale, MA 01747",21.22
"Hopkinton, MA 01748",26.37
"Hudson, MA 01749",38.34
"Hyde Park, MA 02136",20.92
"Jamaica Plain, MA 02130",28.08
"Johnston, RI 02919",27.32
"Kingston, MA 02364",33.55
"Lakeville, MA 02347",24.51
"Lexington, MA 02420",39.34
"Lincoln, MA 01773",36.01
"Lincoln, RI 02865",21.91
"Mansfield, MA 02048",4.38
"Manville, RI 02838",20.77
"Mapleville, RI 02839",31.81
"Marlborough, MA 01752",36.09
"Mattapan, MA 02126",21.96
"Medfield, MA 02052",15.32
"Medford, MA 02155",38.65
"Medway, MA 02053",13.67
"Mendon, MA 01756",20.93
"Middleboro, MA 02346",28.25
"Milford, MA 01757",20.58
"Millis, MA 02054",13.42
"Millville, MA 01529",27.24
"Milton, MA 02186",20.45
"Natick, MA 01760",21.12
"Needham, MA 02492",23.76
"Needham Heights, MA 02494",24.83
"Newton, MA 02458",29.46
"Newton Center, MA 02459",25.85
"Newton Highlands, MA 02461",26.21
"Newton Lower Falls, MA 02462",26.96
"Newton Upper Falls, MA 02464",25.84
"Newtonville, MA 02460",28.75
"Norfolk, MA 02056",8.8
"North Attleboro, MA 02760",8.49
"North Dighton, MA 02764",14.52
"North Easton, MA 02356",8.16
"North Providence, RI 02911",26.85
"North Scituate, RI 02857",31.28
"North Smithfield, RI 02896",25.26
"North Weymouth, MA 02191",28.39
"Northborough, MA 01532",35.75
"Northbridge, MA 01534",31.51
"Norton, MA 02766",6.51
"Norwell, MA 02061",36.28
"Norwood, MA 02062",12.18
"Oakland, RI 02858",31.03
"Pascoag, RI 02859",34.16
"Pawtucket, RI 02860",16.44
"Plainville, MA 02762",6.27
"Plympton, MA 02367",28.98
"Providence, RI 02903",21.24
"Quincy, MA 02169",24.71
"Randolph, MA 02368",23.38
"Raynham, MA 02767",12.92
"Rehoboth, MA 02769",17.22
"Revere, MA 02151",38.83
"Riverside, RI 02915",27.28
"Rochester, MA 02770",34.42
"Rockland, MA 02370",34.42
"Roslindale, MA 02131",22.91
"Roxbury, MA 02119",30.66
"Roxbury Crossing, MA 02120",32.28
"Rumford, RI 02916",18.22
"Seekonk, MA 02771",19.84
"Sharon, MA 02067",8.88
"Sherborn, MA 01770",18.29
"Shrewsbury, MA 01545",38.67
"Slatersville, RI 02876",25.59
"Smithfield, RI 02917",22.63
"Somerset, MA 02725",35.42
"Somerville, MA 02143",36.81
"South Boston, MA 02127",31.26
"South Easton, MA 02375",8.89
"South Grafton, MA 01560",32.43
"South Walpole, MA 02071",6.28
