Town,State,Tax_Rate_Per_1000,Fiscal_Year,Last_Updated ,Comments
Abington,MA,12.81,2026,2/19/2026,
Acton,MA,16.23,2026,2/19/2026,
Acushnet,MA,10.45,2026,2/19/2026,
Adams,MA,15.63,2026,2/19/2026,
Agawam,MA,14.1,2026,2/19/2026,
Alford,MA,4.07,2026,2/19/2026,
Allston,MA,12.4,2026,2/19/2026,Part of Boston
Amesbury,MA,15.05,2026,2/19/2026,
Amherst,MA,16.91,2026,2/19/2026,
Andover,MA,12.31,2026,2/19/2026,
Arlington,MA,10.67,2026,2/19/2026,
Ashburnham,MA,14.87,2026,2/19/2026,
Ashby,MA,15.76,2026,2/19/2026,
Ashfield,MA,14.23,2026,2/19/2026,
Ashland,MA,12.71,2026,2/19/2026,
Athol,MA,12.67,2026,2/19/2026,
Attleboro,MA,12.2,2026,2/19/2026,
Auburndale,MA,9.69,2026,2/19/2026,Part of Newton
Auburn,MA,14.24,2026,2/19/2026,
Avon,MA,13.35,2026,2/19/2026,
Ayer,MA,11.59,2026,2/19/2026,
Barnstable,MA,6.8,2026,2/19/2026,
Barre,MA,13.35,2026,2/19/2026,
Becket,MA,9.56,2026,2/19/2026,
Bedford,MA,12.49,2026,2/19/2026,
Belchertown,MA,15.13,2026,2/19/2026,
Bellingham,MA,12.39,2026,2/19/2026,
Belmont,MA,11.51,2026,2/19/2026,
Berkley,MA,12.35,2026,2/19/2026,
Berlin,MA,14.06,2026,2/19/2026,
Bernardston,MA,15.2,2026,2/19/2026,
Beverly,MA,10.81,2026,2/19/2026,
Billerica,MA,11.61,2026,2/19/2026,
Blackstone,MA,14.74,2026,2/19/2026,
Blandford,MA,12.57,2026,2/19/2026,
Bolton,MA,18.07,2026,2/19/2026,
Boston,MA,12.4,2026,2/19/2026,
Bourne,MA,7.65,2026,2/19/2026,
Boxborough,MA,15.39,2026,2/19/2026,
Boxford,MA,13.54,2026,2/19/2026,
Boylston,MA,13.58,2026,2/19/2026,
Braintree,MA,10.06,2026,2/19/2026,
Brewster,MA,6.77,2026,2/19/2026,
Bridgewater,MA,12.03,2026,2/19/2026,
Brighton,MA,12.4,2026,2/19/2026,Part of Boston
Brimfield,MA,13.38,2026,2/19/2026,
Brockton,MA,11.63,2026,2/19/2026,
Brookfield,MA,14.62,2026,2/19/2026,
Brookline,MA,10.24,2026,2/19/2026,
Buckland,MA,16.74,2026,2/19/2026,
Burlington,MA,8.69,2026,2/19/2026,
Byfield,MA,7.51,2026,2/19/2026,Part of Newbury
Cambridge,MA,6.67,2026,2/19/2026,
Canton,MA,9.75,2026,2/19/2026,
Carlisle,MA,12.82,2026,2/19/2026,
Carver,MA,13.61,2026,2/19/2026,
Charlemont,MA,16.81,2026,2/19/2026,
Charlestown,MA,12.4,2026,2/19/2026,Part of Boston
Charlton,MA,10.94,2026,2/19/2026,
Chatham,MA,3.67,2026,2/19/2026,
Chelmsford,MA,13.27,2026,2/19/2026,
Chelsea,MA,11.48,2026,2/19/2026,
Cheshire,MA,10.58,2026,2/19/2026,
Chestnut Hill,MA,9.69,2026,2/19/2026,Part of Newton
Chester,MA,18.06,2026,2/19/2026,
Chesterfield,MA,15.26,2026,2/19/2026,
Chicopee,MA,15.24,2026,2/19/2026,
Chilmark,MA,2.28,2026,2/19/2026,
Clarksburg,MA,12.29,2026,2/19/2026,
Clinton,MA,12.98,2026,2/19/2026,
Cohasset,MA,11.35,2026,2/19/2026,
Colrain,MA,17.82,2026,2/19/2026,
Concord,MA,13.05,2026,2/19/2026,
Conway,MA,14.28,2026,2/19/2026,
Cummington,MA,12.49,2026,2/19/2026,
Dalton,MA,16.87,2026,2/19/2026,
Danvers,MA,10.65,2026,2/19/2026,
Dartmouth,MA,8.03,2026,2/19/2026,
Dedham,MA,12.3,2026,2/19/2026,
Deerfield,MA,13.45,2026,2/19/2026,
Dennis,MA,4.29,2026,2/19/2026,
Dighton,MA,12.45,2026,2/19/2026,
Douglas,MA,12.07,2026,2/19/2026,
Dorchester,MA,12.4,2026,2/19/2026,Part of Boston
Dover,MA,11.19,2026,2/19/2026,
Dracut,MA,9.67,2026,2/19/2026,
Dudley,MA,10.06,2026,2/19/2026,
Dunstable,MA,13.39,2026,2/19/2026,
Duxbury,MA,9.96,2026,2/19/2026,
East Bridgewater,MA,13.69,2026,2/19/2026,
East Brookfield,MA,11.76,2026,2/19/2026,
East Longmeadow,MA,19.43,2026,2/19/2026,
Eastham,MA,7.71,2026,2/19/2026,
Easthampton,MA,13.29,2026,2/19/2026,
Easton,MA,12.59,2026,2/19/2026,
Edgartown,MA,2.48,2026,2/19/2026,
Egremont,MA,6.58,2026,2/19/2026,
Erving,MA,9.58,2026,2/19/2026,
Essex,MA,13.04,2026,2/19/2026,
Everett,MA,12.62,2026,2/19/2026,
Fairhaven,MA,9.19,2026,2/19/2026,
Fall River,MA,11.48,2026,2/19/2026,
Falmouth,MA,5.73,2026,2/19/2026,
Fayville,MA,14.36,2026,2/19/2026,Part of Southborough
Fitchburg,MA,13.29,2026,2/19/2026,
Florida,MA,8.28,2026,2/19/2026,
Foxborough,MA,13,2026,2/19/2026,
Framingham,MA,11.83,2026,2/19/2026,
Franklin,MA,11.42,2026,2/19/2026,
Freetown,MA,9.78,2026,2/19/2026,
Gardner,MA,13.77,2026,2/19/2026,
Aquinnah,MA,6.87,2026,2/19/2026,
Georgetown,MA,13.76,2026,2/19/2026,
Gill,MA,14.66,2026,2/19/2026,
Gloucester,MA,9.31,2026,2/19/2026,
Goshen,MA,13.5,2026,2/19/2026,
Gosnold,MA,3.17,2026,2/19/2026,
Grafton,MA,13.69,2026,2/19/2026,
Granby,MA,14.85,2026,2/19/2026,
Granville,MA,14,2026,2/19/2026,
Great Barrington,MA,13.24,2026,2/19/2026,
Greenfield,MA,18.64,2026,2/19/2026,
Groton,MA,14.78,2026,2/19/2026,
Groveland,MA,12.98,2026,2/19/2026,
Hadley,MA,11.46,2026,2/19/2026,
Halifax,MA,14.08,2026,2/19/2026,
Hamilton,MA,15.04,2026,2/19/2026,
Hampden,MA,15.78,2026,2/19/2026,
Hancock,MA,2.18,2026,2/19/2026,
Hanover,MA,12.47,2026,2/19/2026,
Hanson,MA,13.06,2026,2/19/2026,
Hardwick,MA,12.74,2026,2/19/2026,
Harvard,MA,15.87,2026,2/19/2026,
Harwich,MA,5.81,2026,2/19/2026,
Hatfield,MA,14.67,2026,2/19/2026,
Haverhill,MA,10.61,2026,2/19/2026,
Hawley,MA,16.2,2026,2/19/2026,
Heath,MA,19.39,2026,2/19/2026,
Hingham,MA,10.47,2026,2/19/2026,
Hinsdale,MA,10.63,2026,2/19/2026,
Holbrook,MA,12.11,2026,2/19/2026,
Holden,MA,13.48,2026,2/19/2026,
Holland,MA,12.2,2026,2/19/2026,
Holliston,MA,14.29,2026,2/19/2026,
Holyoke,MA,17.43,2026,2/19/2026,
Hopedale,MA,16.25,2026,2/19/2026,
Hopkinton,MA,14.1,2026,2/19/2026,
Hubbardston,MA,11.18,2026,2/19/2026,
Hudson,MA,14.14,2026,2/19/2026,
Hull,MA,10.81,2026,2/19/2026,
Huntington,MA,14.77,2026,2/19/2026,
Hyde Park,MA,12.4,2026,2/19/2026,Part of Boston
Ipswich,MA,10.78,2026,2/19/2026,
Jamaica Plain,MA,12.4,2026,2/19/2026,Part of Boston
Kingston,MA,12.82,2026,2/19/2026,
Lakeville,MA,9.74,2026,2/19/2026,
Lancaster,MA,16.9,2026,2/19/2026,
Lanesborough,MA,17.29,2026,2/19/2026,
Lawrence,MA,8.64,2026,2/19/2026,
Lee,MA,11.21,2026,2/19/2026,
Leicester,MA,11.09,2026,2/19/2026,
Lenox,MA,9.85,2026,2/19/2026,
Leominster,MA,13.66,2026,2/19/2026,
Leverett,MA,15.7,2026,2/19/2026,
Lexington,MA,12.31,2026,2/19/2026,
Leyden,MA,14.69,2026,2/19/2026,
Lincoln,MA,12.31,2026,2/19/2026,
Littleton,MA,14.02,2026,2/19/2026,
Longmeadow,MA,19.32,2026,2/19/2026,
Lowell,MA,11.35,2026,2/19/2026,
Ludlow,MA,16.01,2026,2/19/2026,
Lunenburg,MA,14.39,2026,2/19/2026,
Lynn,MA,10.3,2026,2/19/2026,
Lynnfield,MA,11.46,2026,2/19/2026,
Malden,MA,11.4,2026,2/19/2026,
Manchester-By-The-Sea,MA,8.7,2026,2/19/2026,
Mansfield,MA,13.09,2026,2/19/2026,
Marblehead,MA,8.56,2026,2/19/2026,
Marion,MA,8.87,2026,2/19/2026,
Marlborough,MA,10.54,2026,2/19/2026,
Marshfield,MA,9.61,2026,2/19/2026,
Mashpee,MA,6.41,2026,2/19/2026,
Mattapoisett,MA,10.24,2026,2/19/2026,
Mattapan,MA,12.4,2026,2/19/2026,Part of Boston
Maynard,MA,16.62,2026,2/19/2026,
Medfield,MA,13.52,2026,2/19/2026,
Medford,MA,8.63,2026,2/19/2026,
Medway,MA,14,2026,2/19/2026,
Melrose,MA,11.47,2026,2/19/2026,
Mendon,MA,13.26,2026,2/19/2026,
Merrimac,MA,13.19,2026,2/19/2026,
Methuen,MA,10.4,2026,2/19/2026,
Middleborough,MA,13.12,2026,2/19/2026,
Middlefield,MA,16.88,2026,2/19/2026,
Middleton,MA,12.59,2026,2/19/2026,
Milford,MA,12.69,2026,2/19/2026,
Millbury,MA,12.87,2026,2/19/2026,
Millis,MA,15.31,2026,2/19/2026,
Millville,MA,12.21,2026,2/19/2026,
Milton,MA,11.81,2026,2/19/2026,
Monroe,MA,10.13,2026,2/19/2026,
Monson,MA,14.3,2026,2/19/2026,
Montague,MA,15.13,2026,2/19/2026,
Monterey,MA,7.22,2026,2/19/2026,
Montgomery,MA,11.59,2026,2/19/2026,
Mount Washington,MA,5.97,2026,2/19/2026,
Nahant,MA,8.99,2026,2/19/2026,
Nantucket,MA,3.12,2026,2/19/2026,
Natick,MA,12.17,2026,2/19/2026,
Needham,MA,10.83,2026,2/19/2026,
New Ashford,MA,5.66,2026,2/19/2026,
New Bedford,MA,10.95,2026,2/19/2026,
New Braintree,MA,14.97,2026,2/19/2026,
New Marlborough,MA,7.21,2026,2/19/2026,
New Salem,MA,13.62,2026,2/19/2026,
