zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude
02421,STANDARD,0,Lexington,,,MA,Middlesex County,America/New_York,"339, 617, 781, 857",42.44,-71.23
02420,STANDARD,0,Lexington,,,MA,Middlesex County,America/New_York,"339, 781",42.46,-71.22
02138,STANDARD,0,Cambridge,,,MA,Middlesex County,America/New_York,"617, 857",42.38,-71.14
02140,STANDARD,0,Cambridge,"N Cambridge, North Cambridge",Porter Square,MA,Middlesex County,America/New_York,"339, 617, 781, 857",42.39,-71.13
02142,STANDARD,0,Cambridge,,Kendall Square,MA,Middlesex County,America/New_York,"617, 857",42.36,-71.08
01730,STANDARD,0,Bedford,,,MA,Middlesex County,America/New_York,"339, 351, 781, 978",42.48,-71.26
01731,STANDARD,0,Hanscom AFB,Bedford,,MA,Middlesex County,America/New_York,"339, 351, 781, 978",42.46,-71.28
01742,STANDARD,0,Concord,,"W Concord, West Concord",MA,Middlesex County,America/New_York,"339, 351, 781, 978",42.45,-71.35
02474,STANDARD,0,Arlington,"E Arlington, East Arlington",,MA,Middlesex County,America/New_York,"339, 617, 781, 857",42.42,-71.16
02478,STANDARD,0,Belmont,,,MA,Middlesex County,America/New_York,"339, 617, 781, 857",42.39,-71.18
02472,STANDARD,0,Watertown,"E Watertown, East Watertown",,MA,Middlesex County,America/New_York,"339, 617, 781, 857",42.37,-71.18
02155,STANDARD,0,Medford,,,MA,Middlesex County,America/New_York,"339, 617, 781, 857",42.42,-71.1
02153,PO BOX,0,Medford,"Tufts Univ, Tufts University",,MA,Middlesex County,America/New_York,617,42.42,-71.1
01803,STANDARD,0,Burlington,,,MA,Middlesex County,America/New_York,"339, 351, 781, 978",42.5,-71.2
01805,UNIQUE,0,Burlington,,Lahey Clinic Med Ctr,MA,Middlesex County,America/New_York,339,42.5,-71.2
02116,STANDARD,0,Boston,,,MA,Suffolk County,America/New_York,"617, 857",42.35,-71.08
02201,UNIQUE,0,Boston,,Boston City Hall,MA,Suffolk County,America/New_York,617,42.35,-71.06
02860,STANDARD,0,Pawtucket,,,RI,Providence County,America/New_York,"401, 508, 774",41.87,-71.37
02909,STANDARD,0,Providence,,,RI,Providence County,America/New_York,401,41.82,-71.45
03110,STANDARD,0,Bedford,,,NH,Hillsborough County,America/New_York,603,42.95,-71.5
03101,STANDARD,0,Manchester,,,NH,Hillsborough County,America/New_York,603,42.99,-71.47
03038,STANDARD,0,Derry,Londonderry,,NH,Rockingham County,America/New_York,603,42.89,-71.28
01195,STANDARD,1,Springfield,Springfield Bmc,,MA,Hampden County,America/New_York,413,42.1,-72.58
99999,STANDARD,0,Test City,,,MA,Test County,America/New_York,555,,,
88888,STANDARD,0,,,,MA,Test County,America/New_York,555,42.0,-71.0
06001,STANDARD,0,Avon,,,CT,Hartford County,America/New_York,"860, 959",41.8,-72.83
06011,PO BOX,0,Bristol,,,CT,Hartford County,America/New_York,860,41.68,-72.94
90001,STANDARD,0,Los Angeles,"Firestone Park, Firestone Pk",,CA,Los Angeles County,America/Los_Angeles,"213, 323",33.97,-118.24
90090,UNIQUE,1,Dodgertown,Los Angeles,Los Angeles Dodgers,CA,Los Angeles County,America/Los_Angeles,213,34.07,-118.24

