zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude
00501,UNIQUE,0,Holtsville,,Internal Revenue Service,NY,Suffolk County,America/New_York,631,40.81,-73.04
00544,UNIQUE,0,Holtsville,,Internal Revenue Service,NY,Suffolk County,America/New_York,631,40.81,-73.04
01001,STANDARD,0,Agawam,,,MA,Hampden County,America/New_York,"413, 860, 959",42.06,-72.61
01002,STANDARD,0,Amherst,"Cushman, Pelham",South Amherst,MA,Hampshire County,America/New_York,"351, 413, 978",42.37,-72.52
01003,STANDARD,0,Amherst,,,MA,Hampshire County,America/New_York,413,42.39,-72.52
01004,PO BOX,0,Amherst,,,MA,Hampshire County,America/New_York,413,42.37,-72.52
01005,STANDARD,0,Barre,,,MA,Worcester County,America/New_York,"351, 413, 508, 774, 978",42.42,-72.1
01007,STANDARD,0,Belchertown,,,MA,Hampshire County,America/New_York,"351, 413, 978",42.27,-72.4
01008,STANDARD,0,Blandford,,,MA,Hampden County,America/New_York,413,42.18,-72.93
01009,PO BOX,0,Bondsville,,,MA,Hampden County,America/New_York,413,42.21,-72.34
01010,STANDARD,0,Brimfield,,East Brimfield,MA,Hampden County,America/New_York,"413, 508, 774",42.11,-72.2
01011,STANDARD,0,Chester,,,MA,Hampden County,America/New_York,413,42.28,-72.98
01012,STANDARD,0,Chesterfield,,,MA,Hampshire County,America/New_York,413,42.4,-72.85
01013,STANDARD,0,Chicopee,Willimansett,,MA,Hampden County,America/New_York,413,42.15,-72.6
01014,PO BOX,0,Chicopee,,,MA,Hampden County,America/New_York,413,42.17,-72.57
01020,STANDARD,0,Chicopee,,,MA,Hampden County,America/New_York,413,42.17,-72.57
01021,PO BOX,0,Chicopee,,,MA,Hampden County,America/New_York,413,42.17,-72.57
01022,STANDARD,0,Chicopee,Westover AFB,,MA,Hampden County,America/New_York,413,42.2,-72.54
01026,STANDARD,0,Cummington,,West Cummington,MA,Hampshire County,America/New_York,413,42.46,-72.9
01027,STANDARD,0,Easthampton,"E Hampton, Mount Tom, Westhampton",Loudville,MA,Hampshire County,America/New_York,413,42.26,-72.68
01028,STANDARD,0,East Longmeadow,E Longmeadow,,MA,Hampden County,America/New_York,413,42.06,-72.51
01029,PO BOX,0,East Otis,,"Big Pond, E Otis",MA,Berkshire County,America/New_York,413,42.17,-73.03
01030,STANDARD,0,Feeding Hills,,,MA,Hampden County,America/New_York,"413, 860, 959",42.06,-72.67
01031,STANDARD,0,Gilbertville,,Old Furnace,MA,Worcester County,America/New_York,"413, 508, 774",42.33,-72.2
01032,STANDARD,0,Goshen,,Lithia,MA,Hampshire County,America/New_York,413,42.46,-72.81
01033,STANDARD,0,Granby,,,MA,Hampshire County,America/New_York,413,42.26,-72.52
01034,STANDARD,0,Granville,Tolland,"Granville Center, West Granville",MA,Hampden County,America/New_York,"413, 860, 959",42.06,-72.86
01035,STANDARD,0,Hadley,,North Hadley,MA,Hampshire County,America/New_York,413,42.35,-72.58
