Town,State,Zip,Distance,Total_Runs,Last_Run_Date,Min_Time,Max_Time,Average_Time
Abington,MA,02351,35,9,2026-02-16,90,91,90.64
Acton,MA,01718,12,9,2026-02-16,26,28,27.05
Allston,MA,02134,12,9,2026-02-16,34,36,35.16
Amesbury,MA,01913,39,9,2026-02-16,80,82,81.6
Amherst,NH,03031,38,9,2026-02-16,73,74,74.21
Arlington,MA,02474,7,9,2026-02-16,20,20,20.24
Ashby,MA,01431,36,9,2026-02-16,66,66,66.6
Ashland,MA,01721,21,9,2026-02-16,48,48,48.42
Atkinson,NH,03811,35,9,2026-02-16,72,73,73.12
Auburndale,MA,02466,10,9,2026-02-16,30,30,30.74
Avon,MA,02322,30,9,2026-02-16,80,81,81.03
Ayer,MA,01432,21,9,2026-02-16,41,41,41.26
Bedford,MA,01730,3,9,2026-02-16,9,9,9.56
Bellingham,MA,02019,33,9,2026-02-16,71,72,71.61
Belmont,MA,02478,8,9,2026-02-16,18,20,19.62
Berlin,MA,01503,24,9,2026-02-16,47,50,48.66
Beverly,MA,01915,29,9,2026-02-16,69,72,70.46
Billerica,MA,01821,7,9,2026-02-16,17,18,17.68
Blackstone,MA,01504,38,9,2026-02-16,79,81,80.1
Bolton,MA,01740,21,9,2026-02-16,42,45,43.4
Boston,MA,02108,15,9,2026-02-16,45,47,47.48
Boxborough,MA,01719,16,9,2026-02-16,34,36,35.26
Boxford,MA,01921,27,9,2026-02-16,55,56,56.23
Boylston,MA,01505,31,9,2026-02-16,58,61,59.6
Braintree,MA,02184,27,9,2026-02-16,81,82,81.89
Brighton,MA,02135,12,9,2026-02-16,33,35,34.57
Brockton,MA,02301,35,9,2026-02-16,88,89,89.16
Brookline,MA,02445,13,9,2026-02-16,40,42,40.96
Brookline,NH,03033,34,9,2026-02-16,63,64,64.44
Burlington,MA,01803,7,9,2026-02-16,16,17,16.96
Byfield,MA,01922,33,9,2026-02-16,66,67,66.73
Cambridge,MA,02138,10,9,2026-02-16,27,28,27.52
Canton,MA,02021,25,9,2026-02-16,64,65,64.8
Carlisle,MA,01741,8,9,2026-02-16,18,19,19.0
Charlestown,MA,02129,14,9,2026-02-16,40,42,41.02
Chelmsford,MA,01824,12,9,2026-02-16,25,27,25.88
Chelsea,MA,02150,15,9,2026-02-16,45,45,45.45
Chestnut Hill,MA,02467,12,9,2026-02-16,37,37,37.43
Clinton,MA,01510,25,9,2026-02-16,50,53,51.09
Cohasset,MA,02025,34,9,2026-02-16,96,98,97.5
Concord,MA,01742,5,9,2026-02-16,12,12,12.34
Danvers,MA,01923,23,9,2026-02-16,54,55,55.13
Dedham,MA,02026,18,9,2026-02-16,48,49,48.94
Derry,NH,03038,34,9,2026-02-16,69,70,70.05
Devens,MA,01434,24,9,2026-02-16,47,47,47.7
Dorchester,MA,02121,18,9,2026-02-16,56,60,58.91
