Town,State,Zip,Distance,Total_Runs,Last_Run_Date,Min_Time,Max_Time,Average_Time
Abington,MA,02351,35,26,2026-02-27,90,91,90.65
Acton,MA,01718,12,26,2026-02-27,26,28,26.82
Allston,MA,02134,12,26,2026-02-27,34,36,34.78
Amesbury,MA,01913,39,26,2026-02-27,80,82,81.26
Amherst,NH,03031,38,26,2026-02-27,73,74,74.24
Arlington,MA,02474,7,26,2026-02-27,20,20,20.22
Ashby,MA,01431,36,26,2026-02-27,66,66,66.55
Ashland,MA,01721,21,26,2026-02-27,47,48,48.24
Atkinson,NH,03811,35,26,2026-02-27,72,73,72.9
Auburndale,MA,02466,10,26,2026-02-27,30,30,30.72
Avon,MA,02322,30,26,2026-02-27,80,81,80.98
Ayer,MA,01432,21,26,2026-02-27,41,41,41.25
Bedford,MA,01730,3,26,2026-02-27,9,9,9.55
Bellingham,MA,02019,33,26,2026-02-27,71,72,71.38
Belmont,MA,02478,8,26,2026-02-27,18,20,19.79
Berlin,MA,01503,24,26,2026-02-27,47,50,48.25
Beverly,MA,01915,29,26,2026-02-27,69,72,69.99
Billerica,MA,01821,7,26,2026-02-27,17,18,17.62
Blackstone,MA,01504,38,26,2026-02-27,79,81,79.84
Bolton,MA,01740,21,26,2026-02-27,42,45,42.83
Boston,MA,02108,15,26,2026-02-27,45,47,47.55
Boxborough,MA,01719,16,26,2026-02-27,34,36,35.07
Boxford,MA,01921,27,26,2026-02-27,55,56,56.1
Boylston,MA,01505,31,26,2026-02-27,58,61,59.15
Braintree,MA,02184,27,26,2026-02-27,81,82,81.54
Brighton,MA,02135,12,26,2026-02-27,33,35,34.68
Brockton,MA,02301,35,26,2026-02-27,88,89,89.04
Brookline,MA,02445,13,26,2026-02-27,40,42,40.68
Brookline,NH,03033,34,26,2026-02-27,63,64,64.25
Burlington,MA,01803,7,26,2026-02-27,16,17,16.8
Byfield,MA,01922,33,26,2026-02-27,66,67,66.48
Cambridge,MA,02138,10,26,2026-02-27,27,28,27.38
Canton,MA,02021,25,26,2026-02-27,64,65,64.63
Carlisle,MA,01741,8,26,2026-02-27,18,19,18.95
Charlestown,MA,02129,14,26,2026-02-27,40,42,40.75
Chelmsford,MA,01824,12,26,2026-02-27,25,27,25.62
Chelsea,MA,02150,15,26,2026-02-27,45,45,45.28
Chestnut Hill,MA,02467,12,26,2026-02-27,37,37,37.37
Clinton,MA,01510,25,26,2026-02-27,50,53,50.64
Cohasset,MA,02025,34,26,2026-02-27,96,98,97.2
Concord,MA,01742,5,26,2026-02-27,12,12,12.31
Danvers,MA,01923,23,26,2026-02-27,54,55,55.03
Dedham,MA,02026,18,26,2026-02-27,48,49,48.87
Derry,NH,03038,34,26,2026-02-27,69,70,69.93
Devens,MA,01434,24,26,2026-02-27,47,47,47.72
Dorchester,MA,02121,18,26,2026-02-27,56,60,59.25
Dover,MA,02030,19,26,2026-02-27,43,44,43.92
Dracut,MA,01826,17,26,2026-02-27,40,42,41.52
Dunstable,MA,01827,22,26,2026-02-27,46,46,46.67
Essex,MA,01929,37,26,2026-02-27,75,77,76.9
Everett,MA,02149,14,26,2026-02-27,39,40,40.38
Fayville,MA,01745,21,26,2026-02-27,46,47,46.96
Fitchburg,MA,01420,35,26,2026-02-27,67,68,68.28
Foxboro,MA,02035,34,26,2026-02-27,71,72,71.93
Framingham,MA,01701,17,26,2026-02-27,38,39,38.37
Franklin,MA,02038,32,26,2026-02-27,68,69,68.41
Georgetown,MA,01833,31,26,2026-02-27,63,66,63.83
Grafton,MA,01519,34,26,2026-02-27,68,69,68.54
Greenville,NH,03048,39,26,2026-02-27,71,71,71.06
Groton,MA,01450,21,26,2026-02-27,41,41,41.33
Groveland,MA,01834,30,26,2026-02-27,60,62,60.99
Hampstead,NH,03841,35,26,2026-02-27,72,73,73.12
Harvard,MA,01451,20,26,2026-02-27,41,42,41.25
Haverhill,MA,01830,32,26,2026-02-27,67,67,67.58
Hingham,MA,02043,31,26,2026-02-27,92,94,92.94
Holbrook,MA,02343,33,26,2026-02-27,86,86,86.58
Holden,MA,01520,37,26,2026-02-27,71,74,72.32
Hollis,NH,03049,29,26,2026-02-27,57,57,57.67
Holliston,MA,01746,24,26,2026-02-27,53,54,54.06
Hopedale,MA,01747,32,26,2026-02-27,72,73,72.43
Hopkinton,MA,01748,26,26,2026-02-27,54,55,54.79
Hudson,MA,01749,19,26,2026-02-27,41,41,41.17
Hudson,NH,03051,25,26,2026-02-27,54,54,54.13
Hull,MA,02045,37,26,2026-02-27,101,103,102.63
Hyde Park,MA,02136,20,26,2026-02-27,54,55,55.16
Ipswich,MA,01938,33,26,2026-02-27,67,69,68.91
Jamaica Plain,MA,02130,16,26,2026-02-27,49,49,49.31
Jefferson,MA,01522,38,26,2026-02-27,72,75,73.48
Lancaster,MA,01523,26,26,2026-02-27,50,53,51.36
Lawrence,MA,01840,21,26,2026-02-27,50,52,50.65
Leominster,MA,01453,31,26,2026-02-27,60,63,60.65
Lexington,MA,02420,3,26,2026-02-27,9,9,9.23
Lincoln,MA,01773,5,26,2026-02-27,11,12,11.91
Litchfield,NH,03052,32,26,2026-02-27,65,65,65.35
Littleton,MA,01460,15,26,2026-02-27,32,34,32.93
Londonderry,NH,03053,33,26,2026-02-27,66,66,66.48
Lowell,MA,01850,16,26,2026-02-27,38,40,39.38
Lunenburg,MA,01462,31,26,2026-02-27,58,59,58.8
Lynn,MA,01901,20,26,2026-02-27,55,56,55.74
Lynnfield,MA,01940,16,26,2026-02-27,41,43,41.56
Malden,MA,02148,14,26,2026-02-27,37,39,38.87
Manchester,MA,01944,35,26,2026-02-27,78,79,79.24
Marblehead,MA,01945,27,26,2026-02-27,70,71,71.09
Marlborough,MA,01752,20,26,2026-02-27,41,42,41.98
Mattapan,MA,02126,19,26,2026-02-27,58,58,58.24
Maynard,MA,01754,13,26,2026-02-27,28,28,28.22
Medfield,MA,02052,23,26,2026-02-27,51,52,51.79
Medford,MA,02155,10,26,2026-02-27,27,27,27.66
Medway,MA,02053,28,26,2026-02-27,59,60,59.81
Melrose,MA,02176,13,26,2026-02-27,36,36,36.62
Mendon,MA,01756,33,26,2026-02-27,74,75,74.6
Merrimac,MA,01860,35,26,2026-02-27,72,75,73.29
Merrimack,NH,03054,34,26,2026-02-27,72,73,73.13
Methuen,MA,01844,24,26,2026-02-27,52,53,52.83
Middleton,MA,01949,22,26,2026-02-27,49,50,49.82
Milford,MA,01757,30,26,2026-02-27,66,66,66.45
Millis,MA,02054,25,26,2026-02-27,55,57,55.62
Milton,MA,02186,24,26,2026-02-27,65,66,66.35
Nahant,MA,01908,24,26,2026-02-27,60,62,60.76
Nashua,NH,03060,24,26,2026-02-27,53,54,53.64
Natick,MA,01760,16,26,2026-02-27,38,39,38.69
Needham,MA,02492,17,26,2026-02-27,40,42,41.15
Newbury,MA,01951,38,26,2026-02-27,75,77,76.89
Newton,MA,02458,10,26,2026-02-27,30,31,30.94
Newton,NH,03858,36,26,2026-02-27,74,76,74.57
Norfolk,MA,02056,29,26,2026-02-27,62,62,62.2
North Andover,MA,01845,23,26,2026-02-27,47,48,47.66
North Easton,MA,02356,34,26,2026-02-27,78,80,79.02
Northborough,MA,01532,25,26,2026-02-27,56,57,56.67
Northbridge,MA,01534,35,26,2026-02-27,72,72,72.41
Norwell,MA,02061,37,26,2026-02-27,100,103,102.5
Norwood,MA,02062,25,26,2026-02-27,59,60,59.59
Peabody,MA,01960,21,26,2026-02-27,53,54,53.78
Pelham,NH,03076,21,26,2026-02-27,49,51,50.47
Pepperell,MA,01463,26,26,2026-02-27,51,52,51.75
Plainville,MA,02762,39,26,2026-02-27,78,79,79.06
Plaistow,NH,03865,34,26,2026-02-27,70,72,71.26
Princeton,MA,01541,37,26,2026-02-27,69,72,69.94
Quincy,MA,02169,25,26,2026-02-27,75,77,76.0
Randolph,MA,02368,30,26,2026-02-27,79,80,80.24
Reading,MA,01867,15,26,2026-02-27,34,34,34.46
Revere,MA,02151,17,26,2026-02-27,51,52,51.81
Rockland,MA,02370,37,26,2026-02-27,96,97,96.78
Roslindale,MA,02131,18,26,2026-02-27,52,53,52.91
Rowley,MA,01969,33,26,2026-02-27,69,70,70.62
Roxbury,MA,02119,16,26,2026-02-27,51,54,53.26
Salem,MA,01970,22,26,2026-02-27,62,63,62.46
Salem,NH,03079,28,26,2026-02-27,61,65,62.63
Sandown,NH,03873,41,26,2026-02-27,82,83,82.98
Saugus,MA,01906,15,26,2026-02-27,42,42,42.69
Scituate,MA,02066,39,26,2026-02-27,104,106,105.11
Sharon,MA,02067,34,26,2026-02-27,71,72,72.11
Sherborn,MA,01770,19,26,2026-02-27,43,43,43.36
Shirley,MA,01464,25,26,2026-02-27,48,49,48.82
Shrewsbury,MA,01545,33,26,2026-02-27,64,65,64.25
Somerset,MA,02726,60,26,2026-02-27,116,117,117.06
Somerville,MA,02143,12,26,2026-02-27,37,38,38.06
South Hamilton,MA,01982,29,26,2026-02-27,64,66,66.08
Southborough,MA,01772,22,26,2026-02-27,47,49,48.02
Sterling,MA,01564,30,26,2026-02-27,57,60,58.01
Stoneham,MA,02180,11,26,2026-02-27,29,29,29.56
Stoughton,MA,02072,29,26,2026-02-27,74,75,74.92
Stow,MA,01775,15,26,2026-02-27,31,32,31.3
Sudbury,MA,01776,12,26,2026-02-27,27,27,27.49
Swampscott,MA,01907,24,26,2026-02-27,62,63,63.0
Tewksbury,MA,01876,13,26,2026-02-27,30,31,30.98
Topsfield,MA,01983,26,26,2026-02-27,56,57,57.37
Townsend,MA,01469,29,26,2026-02-27,55,56,55.98
Tyngsboro,MA,01879,18,26,2026-02-27,39,39,39.47
Upton,MA,01568,32,26,2026-02-27,67,68,67.48
Waban,MA,02468,11,26,2026-02-27,33,33,33.38
Wakefield,MA,01880,13,26,2026-02-27,34,35,34.29
Walpole,MA,02081,29,26,2026-02-27,60,61,60.67
Waltham,MA,02451,5,26,2026-02-27,14,17,15.04
Watertown,MA,02472,9,26,2026-02-27,25,25,25.75
Wayland,MA,01778,10,26,2026-02-27,24,24,24.2
Wellesley,MA,02482,15,26,2026-02-27,36,37,36.49
Wenham,MA,01984,27,26,2026-02-27,61,62,62.32
West Bridgewater,MA,02379,39,26,2026-02-27,94,95,95.13
Westborough,MA,01581,28,26,2026-02-27,57,57,57.58
Westford,MA,01886,15,26,2026-02-27,33,34,33.62
Weston,MA,02493,9,26,2026-02-27,22,23,22.61
Westwood,MA,02090,22,26,2026-02-27,51,52,51.47
Weymouth,MA,02188,28,26,2026-02-27,85,87,86.8
