Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Boston,MA,02115,1,2026-03-01,11000000.0,11000000.0,11000000.0,11000000.0,10995000.0,1449.678158924,2,1,redfin,12.4,database,136400.0,11366.67,952500.0,11000000.0,2943166.6666666665,12,increasing
Boston,MA,02108,1,2026-03-01,6250000.0,6250000.0,6250000.0,6250000.0,8875000.0,1505.661286437,5,9,redfin,12.4,database,77500.0,6458.33,907500.0,7425000.0,3436875.0,12,increasing
Boston,MA,02199,1,2026-03-01,4687500.0,4687500.0,4687500.0,4687500.0,10362500.0,2123.066739622,4,3,redfin,12.4,database,58125.0,4843.75,1300000.0,7800000.0,4247500.0,12,increasing
Boston,MA,02110,1,2026-03-01,2450000.0,2450000.0,2450000.0,2450000.0,1995000.0,1788.059701493,23,50,redfin,12.4,database,30380.0,2531.67,1330000.0,2450000.0,1985000.0,12,increasing
Weston,MA,02493,1,2026-03-01,2299000.0,2299000.0,2299000.0,2299000.0,2800000.0,562.429696288,37,13,redfin,10.88,database,25013.12,2084.43,740000.0,2637444.0,1592887.0,12,increasing
Cambridge,MA,02138,1,2026-03-01,2250000.0,2250000.0,2250000.0,2250000.0,2397500.0,727.934485896,9,1,redfin,6.67,database,15007.5,1250.62,850500.0,3300000.0,1763291.6666666667,12,increasing
Cambridge,MA,02141,1,2026-03-01,2202500.0,2202500.0,2202500.0,2202500.0,2099980.0,591.796457235,4,4,redfin,6.67,database,14690.68,1224.22,850000.0,2202500.0,1428291.6666666667,12,increasing
Wellesley,MA,02481,1,2026-03-01,2112500.0,2112500.0,2112500.0,2112500.0,2100000.0,645.028500109,34,19,redfin,10.17,database,21484.12,1790.34,1730000.0,2500000.0,2127708.3333333335,12,decreasing
Cambridge,MA,02140,1,2026-03-01,2102500.0,2102500.0,2102500.0,2102500.0,1750000.0,653.109921853,4,2,redfin,6.67,database,14023.68,1168.64,838500.0,2396750.0,1517645.8333333333,12,increasing
Newton,MA,02465,1,2026-03-01,1895000.0,1895000.0,1895000.0,1895000.0,2499000.0,646.639608528,28,4,redfin,9.69,database,18362.55,1530.21,1180000.0,2000000.0,1508291.6666666667,12,increasing
Newton,MA,02460,1,2026-03-01,1882500.0,1882500.0,1882500.0,1882500.0,1584000.0,382.250180458,2,0,redfin,9.69,database,18241.42,1520.12,525000.0,1882500.0,1250533.3333333333,12,increasing
Cambridge,MA,02142,1,2026-03-01,1845000.0,1845000.0,1845000.0,1845000.0,831500.0,1154.067119922,2,5,redfin,6.67,database,12306.15,1025.51,860000.0,1920000.0,1512500.0,12,increasing
Boston,MA,02210,1,2026-03-01,1800000.0,1800000.0,1800000.0,1800000.0,2660000.0,1588.693957115,23,39,redfin,12.4,database,22320.0,1860.0,1675000.0,2000000.0,1812500.0,12,increasing
Newton,MA,02468,1,2026-03-01,1775000.0,1775000.0,1775000.0,1775000.0,,574.619617999,1,0,redfin,9.69,database,17199.75,1433.31,1390000.0,2650000.0,1885000.0,12,decreasing
Lexington,MA,02420,1,2026-03-01,1660000.0,1660000.0,1660000.0,1660000.0,1400000.0,554.548201874,27,14,redfin,12.31,database,20434.6,1702.88,620000.0,1917500.0,1199400.0,12,decreasing
Dover,MA,02030,1,2026-03-01,1653500.0,1653500.0,1653500.0,1653500.0,1499000.0,441.973000007,14,4,redfin,11.19,database,18502.66,1541.89,650000.0,2150000.0,1675375.0,12,decreasing
Needham,MA,02494,1,2026-03-01,1510000.0,1510000.0,1510000.0,1510000.0,2168000.0,512.745098039,19,19,redfin,10.83,database,16353.3,1362.78,580000.0,1828750.0,1212395.8333333333,12,increasing
