Town,State,Zip,Filter_Reason,Property_Types_Requested
Acton,MA,01718,No Single Family data available,Single Family
Boston,MA,02109,No Single Family data available,Single Family
Boston,MA,02110,No Single Family data available,Single Family
Boston,MA,02111,No Single Family data available,Single Family
Boston,MA,02133,No Single Family data available,Single Family
Boston,MA,02163,No Single Family data available,Single Family
Boston,MA,02199,No Single Family data available,Single Family
Boston,MA,02203,No Single Family data available,Single Family
Boston,MA,02210,No Single Family data available,Single Family
Boston,MA,02215,No Single Family data available,Single Family
Boston,MA,02222,No Single Family data available,Single Family
Hanscom AFB,MA,01731,No Single Family data available,Single Family
