Town,State,Zip,Filter_Reason,Property_Types_Requested
Avon,MA,02322,No Townhouse data available,Townhouse
Boston,MA,02163,No Townhouse data available,Townhouse
Brookline,NH,03033,No Townhouse data available,Townhouse
Dunstable,MA,01827,No Townhouse data available,Townhouse
Fayville,MA,01745,No Townhouse data available,Townhouse
Hanscom AFB,MA,01731,No Townhouse data available,Townhouse
Hollis,NH,03049,No Townhouse data available,Townhouse
Litchfield,NH,03052,No Townhouse data available,Townhouse
Nahant,MA,01908,No Townhouse data available,Townhouse
Nashua,NH,03060,No Townhouse data available,Townhouse
Newton Lower Falls,MA,02462,No Townhouse data available,Townhouse
Pelham,NH,03076,No Townhouse data available,Townhouse
Roxbury Crossing,MA,02120,No Townhouse data available,Townhouse
South Walpole,MA,02071,No Townhouse data available,Townhouse
Townsend,MA,01469,No Townhouse data available,Townhouse
Wellesley Hills,MA,02481,No Townhouse data available,Townhouse
