Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Boston,MA,02115,1,2026-03-13,11000000.0,11000000.0,11000000.0,11000000.0,10995000.0,1449,2,1,redfin,12.4,database,136400.0,11366.67,952500,11000000,2943166,12,increasing
Boston,MA,02108,1,2026-03-13,6250000.0,6250000.0,6250000.0,6250000.0,8875000.0,1505,5,9,redfin,12.4,database,77500.0,6458.33,907500,7425000,3436875,12,increasing
Boston,MA,02199,1,2026-03-13,4687500.0,4687500.0,4687500.0,4687500.0,10362500.0,2123,4,3,redfin,12.4,database,58125.0,4843.75,1300000,7800000,4247500,12,increasing
Boston,MA,02110,1,2026-03-13,2450000.0,2450000.0,2450000.0,2450000.0,1995000.0,1788,23,50,redfin,12.4,database,30380.0,2531.67,1330000,2450000,1985000,12,increasing
Weston,MA,02493,1,2026-03-13,2299000.0,2299000.0,2299000.0,2299000.0,2800000.0,562,37,13,redfin,10.88,database,25013.12,2084.43,740000,2637444,1592887,12,increasing
Cambridge,MA,02138,1,2026-03-13,2250000.0,2250000.0,2250000.0,2250000.0,2397500.0,727,9,1,redfin,6.67,database,15007.5,1250.62,850500,3300000,1763291,12,increasing
Cambridge,MA,02141,1,2026-03-13,2202500.0,2202500.0,2202500.0,2202500.0,2099980.0,591,4,4,redfin,6.67,database,14690.68,1224.22,850000,2202500,1428291,12,increasing
Wellesley,MA,02481,1,2026-03-13,2112500.0,2112500.0,2112500.0,2112500.0,2100000.0,645,34,19,redfin,10.17,database,21484.12,1790.34,1730000,2500000,2127708,12,decreasing
Cambridge,MA,02140,1,2026-03-13,2102500.0,2102500.0,2102500.0,2102500.0,1750000.0,653,4,2,redfin,6.67,database,14023.68,1168.64,838500,2396750,1517645,12,increasing
Newton,MA,02465,1,2026-03-13,1895000.0,1895000.0,1895000.0,1895000.0,2499000.0,646,28,4,redfin,9.69,database,18362.55,1530.21,1180000,2000000,1508291,12,increasing
Newton,MA,02460,1,2026-03-13,1882500.0,1882500.0,1882500.0,1882500.0,1584000.0,382,2,0,redfin,9.69,database,18241.42,1520.12,525000,1882500,1250533,12,increasing
Cambridge,MA,02142,1,2026-03-13,1845000.0,1845000.0,1845000.0,1845000.0,831500.0,1154,2,5,redfin,6.67,database,12306.15,1025.51,860000,1920000,1512500,12,increasing
Boston,MA,02210,1,2026-03-13,1800000.0,1800000.0,1800000.0,1800000.0,2660000.0,1588,23,39,redfin,12.4,database,22320.0,1860.0,1675000,2000000,1812500,12,increasing
Newton,MA,02468,1,2026-03-13,1775000.0,1775000.0,1775000.0,1775000.0,,574,1,0,redfin,9.69,database,17199.75,1433.31,1390000,2650000,1885000,12,decreasing
Lexington,MA,02420,1,2026-03-13,1660000.0,1660000.0,1660000.0,1660000.0,1400000.0,554,27,14,redfin,12.31,database,20434.6,1702.88,620000,1917500,1199400,12,decreasing
Dover,MA,02030,1,2026-03-13,1653500.0,1653500.0,1653500.0,1653500.0,1499000.0,441,14,4,redfin,11.19,database,18502.66,1541.89,650000,2150000,1675375,12,decreasing
Needham,MA,02494,1,2026-03-13,1510000.0,1510000.0,1510000.0,1510000.0,2168000.0,512,19,19,redfin,10.83,database,16353.3,1362.78,580000,1828750,1212395,12,increasing
Winchester,MA,01890,1,2026-03-13,1499000.0,1499000.0,1499000.0,1499000.0,1499000.0,517,5,3,redfin,11.08,database,16608.92,1384.08,577000,1712500,1212791,12,increasing
Boston,MA,02114,1,2026-03-13,1460000.0,1460000.0,1460000.0,1460000.0,899500.0,1257,35,45,redfin,12.4,database,18104.0,1508.67,799000,3950000,1704625,12,increasing
Wellesley,MA,02482,1,2026-03-13,1429000.0,1429000.0,1429000.0,1429000.0,1075000.0,658,4,2,redfin,10.17,database,14532.93,1211.08,1090250,2405000,1668479,12,increasing
Brookline,MA,02445,1,2026-03-13,1412500.0,1412500.0,1412500.0,1412500.0,1275000.0,767,44,29,redfin,10.24,database,14464.0,1205.33,803750,3625000,1752979,12,increasing
Belmont,MA,02478,1,2026-03-13,1355000.0,1355000.0,1355000.0,1355000.0,1199000.0,633,60,14,redfin,11.51,database,15596.05,1299.67,795000,1530000,1294062,12,stable
Lexington,MA,02421,1,2026-03-13,1345000.0,1345000.0,1345000.0,1345000.0,,458,2,0,redfin,12.31,database,16556.95,1379.75,1150000,2100000,1622645,12,decreasing
Newton,MA,02458,1,2026-03-13,1341500.0,1341500.0,1341500.0,1341500.0,1793500.0,557,34,21,redfin,9.69,database,12999.14,1083.26,740000,1699500,1274333,12,decreasing
Arlington,MA,02474,1,2026-03-13,1303000.0,1303000.0,1303000.0,1303000.0,1125000.0,454,6,0,redfin,10.67,database,13903.01,1158.58,670000,1349000,1163541,12,increasing
Westwood,MA,02090,1,2026-03-13,1300000.0,1300000.0,1300000.0,1300000.0,959000.0,457,31,14,redfin,12.87,database,16731.0,1394.25,762500,1416250,1132291,12,increasing
Newton,MA,02462,1,2026-03-13,1300000.0,1300000.0,1300000.0,1300000.0,,511,5,0,redfin,9.69,database,12597.0,1049.75,635000,1730000,1311875,12,decreasing
Walpole,MA,02032,1,2026-03-13,1299000.0,1299000.0,1299000.0,1299000.0,799000.0,355,5,1,redfin,12.45,database,16172.55,1347.71,775000,1299000,1109896,12,increasing
Boston,MA,02118,1,2026-03-13,1275000.0,1275000.0,1275000.0,1275000.0,1187000.0,1164,47,67,redfin,12.4,database,15810.0,1317.5,975000,5837500,1805416,12,increasing
Newton,MA,02461,1,2026-03-13,1251250.0,1251250.0,1251250.0,1251250.0,955000.0,509,2,2,redfin,9.69,database,12124.61,1010.38,1200000,2380000,1492002,12,decreasing
Wayland,MA,01778,1,2026-03-13,1244000.0,1244000.0,1244000.0,1244000.0,1174000.0,449,38,5,redfin,14.83,database,18448.52,1537.38,695000,1244000,995083,12,increasing
Boston,MA,02111,1,2026-03-13,1237500.0,1237500.0,1237500.0,1237500.0,1195000.0,1078,23,41,redfin,12.4,database,15345.0,1278.75,1005000,1237500,1131666,12,increasing
Arlington,MA,02476,1,2026-03-13,1237000.0,1237000.0,1237000.0,1237000.0,985000.0,561,24,2,redfin,10.67,database,13198.79,1099.9,603950,1450000,1150495,12,stable
Somerville,MA,02143,1,2026-03-13,1234250.0,1234250.0,1234250.0,1234250.0,1279000.0,499,6,8,redfin,10.98,database,13552.06,1129.34,802000,1450000,1052725,12,stable
Chestnut Hill,MA,02467,1,2026-03-13,1220000.0,1220000.0,1220000.0,1220000.0,1599000.0,560,4,1,redfin,9.69,database,11821.8,985.15,560000,2250000,1227637,12,increasing
