Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Boston,MA,02115,1,2026-04-01,11500000.0,11500000.0,11500000.0,11500000.0,,2024,1,1,redfin,12.4,database,142600.0,11883.33,10500000,12000000,11428571,7,stable
Boston,MA,02114,1,2026-04-01,5704375.0,5704375.0,5704375.0,5704375.0,3985000.0,1504,2,5,redfin,12.4,database,70734.25,5894.52,2180000,5704375,3280364,12,increasing
Boston,MA,02108,1,2026-04-01,4025000.0,4025000.0,4025000.0,4025000.0,8850000.0,1198,2,5,redfin,12.4,database,49910.0,4159.17,3950000,7425000,5327083,12,decreasing
Brookline,MA,02445,1,2026-04-01,3647500.0,3647500.0,3647500.0,3647500.0,2995000.0,803,10,12,redfin,10.24,database,37350.4,3112.53,2400000,3647500,3224083,12,increasing
Cambridge,MA,02138,1,2026-04-01,3360000.0,3360000.0,3360000.0,3360000.0,2799500.0,1122,14,7,redfin,6.67,database,22411.2,1867.6,2695000,3900000,3329196,12,decreasing
Boston,MA,02118,1,2026-04-01,2950000.0,2950000.0,2950000.0,2950000.0,3825000.0,678,3,2,redfin,12.4,database,36580.0,3048.33,2950000,10200000,4888958,12,decreasing
Boston,MA,02116,1,2026-04-01,2700000.0,2700000.0,2700000.0,2700000.0,,1388,2,1,redfin,12.4,database,33480.0,2790.0,2700000,4595000,3398156,12,decreasing
Brookline,MA,02446,1,2026-04-01,2650000.0,2650000.0,2650000.0,2650000.0,2599000.0,1001,3,9,redfin,10.24,database,27136.0,2261.33,2255000,3725000,2885166,12,decreasing
Cambridge,MA,02141,1,2026-04-01,2575000.0,2575000.0,2575000.0,2575000.0,2177000.0,705,1,2,redfin,6.67,database,17175.25,1431.27,812500,2790000,2010000,10,increasing
Wellesley,MA,02481,1,2026-04-01,2302000.0,2302000.0,2302000.0,2302000.0,2450000.0,645,24,23,redfin,10.17,database,23411.34,1950.94,1900000,2500000,2210525,12,stable
Chestnut Hill,MA,02467,1,2026-04-01,2150000.0,2150000.0,2150000.0,2150000.0,1987500.0,680,13,15,redfin,9.69,database,20833.5,1736.12,1730000,2600000,2168916,12,stable
Lincoln,MA,01773,1,2026-04-01,2117500.0,2117500.0,2117500.0,2117500.0,2350000.0,458,8,9,redfin,12.31,database,26066.42,2172.2,1497500,2237500,1718416,12,increasing
Needham,MA,02492,1,2026-04-01,2100000.0,2100000.0,2100000.0,2100000.0,2474500.0,559,28,21,redfin,10.83,database,22743.0,1895.25,1400000,2397500,1928460,12,decreasing
Newton,MA,02465,1,2026-04-01,2090000.0,2090000.0,2090000.0,2090000.0,1914500.0,603,15,5,redfin,9.69,database,20252.1,1687.68,1324000,2295000,1868583,12,increasing
Weston,MA,02493,1,2026-04-01,2076250.0,2076250.0,2076250.0,2076250.0,4197000.0,540,24,26,redfin,10.88,database,22589.6,1882.47,1757500,2675000,2439641,12,decreasing
Dover,MA,02030,1,2026-04-01,2050000.0,2050000.0,2050000.0,2050000.0,2264500.0,425,15,13,redfin,11.19,database,22939.5,1911.62,1599500,2500000,1960875,12,increasing
Cambridge,MA,02140,1,2026-04-01,2025000.0,2025000.0,2025000.0,2025000.0,1750000.0,891,6,3,redfin,6.67,database,13506.75,1125.56,1550000,2211500,1908291,12,decreasing
Boston,MA,02113,1,2026-04-01,2020000.0,2020000.0,2020000.0,2020000.0,,1398,1,0,redfin,12.4,database,25048.0,2087.33,1350000,2020000,1601250,4,increasing
Nahant,MA,01908,1,2026-04-01,2000000.0,2000000.0,2000000.0,2000000.0,1800000.0,324,3,5,redfin,8.99,database,17980.0,1498.33,796000,2000000,997324,12,increasing
Newton,MA,02468,1,2026-04-01,1980000.0,1980000.0,1980000.0,1980000.0,2499500.0,586,9,9,redfin,9.69,database,19186.2,1598.85,1700000,2650000,2193291,12,decreasing
Lexington,MA,02421,1,2026-04-01,1825000.0,1825000.0,1825000.0,1825000.0,2599000.0,578,18,20,redfin,12.31,database,22465.75,1872.15,1650000,2100000,1857000,12,increasing
