Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Cambridge,MA,02140,3,2026-04-03,3775000.0,3775000.0,3775000.0,3775000.0,1399000.0,1137,1,1,redfin,6.67,database,25179.25,2098.27,1300000,3775000,1966854,12,increasing
Brookline,MA,02445,3,2026-04-03,2787500.0,2787500.0,2787500.0,2787500.0,2621500.0,636,2,3,redfin,10.24,database,28544.0,2378.67,1200000,3525000,2249208,12,stable
Brookline,MA,02446,1,2026-04-01,2537500.0,2537500.0,2537500.0,2537500.0,3115000.0,916,4,3,redfin,10.24,database,25984.0,2165.33,1350000,3775000,2350875,12,increasing
Boston,MA,02115,1,2026-04-01,2210000.0,2210000.0,2210000.0,2210000.0,10250000.0,1634,1,1,redfin,12.4,database,27404.0,2283.67,915000,4200000,1797045,11,increasing
Lexington,MA,02420,3,2026-04-03,1992500.0,1992500.0,1992500.0,1992500.0,1899000.0,803,2,2,redfin,12.31,database,24527.68,2043.97,665100,1992500,961233,12,increasing
Needham,MA,02492,3,2026-04-03,1955000.0,1955000.0,1955000.0,1955000.0,1547500.0,650,1,3,redfin,10.83,database,21172.65,1764.39,900000,1955000,1288125,12,increasing
Newtonville,MA,02460,3,2026-04-03,1922500.0,1922500.0,1922500.0,1922500.0,1990000.0,519,4,6,redfin,12.1,MA_default,23262.25,1938.52,1210000,1922500,1710708,12,increasing
Milton,MA,02186,3,2026-04-03,1899000.0,1899000.0,1899000.0,1899000.0,1374450.0,759,1,0,redfin,11.81,database,22427.19,1868.93,625000,1899000,1314142,7,increasing
Newton Center,MA,02459,3,2026-04-03,1825000.0,1825000.0,1825000.0,1825000.0,1290000.0,515,5,2,redfin,12.1,MA_default,22082.5,1840.21,945000,1825000,1486227,12,increasing
Waban,MA,02468,3,2026-04-03,1775000.0,1775000.0,1775000.0,1775000.0,,574,1,0,redfin,12.1,MA_default,21477.5,1789.79,1750000,1775000,1762500,6,stable
Belmont,MA,02478,3,2026-04-03,1765000.0,1765000.0,1765000.0,1765000.0,,586,1,0,redfin,11.51,database,20315.15,1692.93,950000,1765000,1473958,12,increasing
Boston,MA,02116,1,2026-04-01,1758888.0,1758888.0,1758888.0,1758888.0,2337500.0,982,3,4,redfin,12.4,database,21810.21,1817.52,1167500,3250000,1992106,12,decreasing
Newton Upper Falls,MA,02464,3,2026-04-03,1745000.0,1745000.0,1745000.0,1745000.0,1898000.0,498,5,3,redfin,12.1,MA_default,21114.5,1759.54,849000,1745000,1250875,12,increasing
Lexington,MA,02421,1,2026-04-01,1740000.0,1740000.0,1740000.0,1740000.0,2395000.0,542,1,1,redfin,12.31,database,21419.4,1784.95,1040500,2250000,1666375,12,increasing
West Newton,MA,02465,3,2026-04-03,1699000.0,1699000.0,1699000.0,1699000.0,1422500.0,461,3,2,redfin,12.1,MA_default,20557.9,1713.16,920000,2000000,1260366,11,increasing
Newton,MA,02458,3,2026-04-03,1657500.0,1657500.0,1657500.0,1657500.0,1654000.0,562,4,7,redfin,9.69,database,16061.18,1338.43,1199672,1699500,1523764,12,increasing
South Boston,MA,02127,3,2026-04-03,1592500.0,1592500.0,1592500.0,1592500.0,770000.0,814,2,4,redfin,12.1,MA_default,19269.25,1605.77,950000,1592500,1312812,12,increasing
Cambridge,MA,02138,1,2026-04-01,1488500.0,1488500.0,1488500.0,1488500.0,1997500.0,916,4,3,redfin,6.67,database,9928.3,827.36,1076500,2200000,1760208,12,decreasing
Cambridge,MA,02139,1,2026-04-01,1485000.0,1485000.0,1485000.0,1485000.0,1684500.0,782,7,2,redfin,6.67,database,9904.95,825.41,1415950,1847500,1649730,12,stable
Cambridge,MA,02141,1,2026-04-01,1432500.0,1432500.0,1432500.0,1432500.0,1399995.0,830,2,1,redfin,6.67,database,9554.78,796.23,1100750,1531600,1260286,11,increasing
Winchester,MA,01890,3,2026-04-03,1427000.0,1427000.0,1427000.0,1427000.0,1299000.0,506,7,1,redfin,11.08,database,15811.16,1317.6,785500,1500750,1114604,12,increasing
Charlestown,MA,02129,3,2026-04-03,1400000.0,1400000.0,1400000.0,1400000.0,1235000.0,962,1,1,redfin,12.4,database,17360.0,1446.67,1158500,1612500,1320062,12,stable
Topsfield,MA,01983,3,2026-04-03,1400000.0,1400000.0,1400000.0,1400000.0,857000.0,358,1,0,redfin,15.66,database,21924.0,1827.0,540000,1400000,784766,12,increasing
Boston,MA,02109,1,2026-04-01,1375000.0,1375000.0,1375000.0,1375000.0,,1100,1,0,redfin,12.4,database,17050.0,1420.83,1375000,5150000,3262500,5,decreasing
