Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
1,Needham,Needham,,,MA,02492,92.4,A,100.0,86.7,80.5,92.9,79.2,78.3,32931.0,60.0,16.7,10.0,29.89,25,54,16,40,2026-04-02,16.13,26.37,26.37,26.37,499450.0,477,2,1,10.83,450.75,increasing,355000,940000,0
2,Lexington,Lexington,,,MA,02421,91.7,A,100.0,82.2,86.1,91.8,88.5,85.6,34743.0,60.0,12.3,9.9,9.89,8,17,3,40,2026-04-02,3.62,9.47,9.47,9.47,499000.0,554,1,1,12.31,511.89,decreasing,499000,1500000,0
3,Dedham,Dedham,,,MA,02026,90.5,A,100.0,91.5,56.5,54.9,62.1,72.0,25485.0,60.0,21.7,9.9,29.09,22,52,17,40,2026-04-02,17.95,23.57,23.57,23.57,465000.0,411,5,5,12.3,476.62,decreasing,425000,1597197,1
4,Bedford,Bedford,,,MA,01730,90.4,A,100.0,76.8,89.9,98.9,87.7,87.4,14955.0,43.9,23.1,9.8,10.28,8,26,3,40,2026-04-02,3.72,9.55,9.55,9.55,767500.0,392,2,3,12.49,798.84,increasing,441000,767500,-1
5,Wayland,Wayland,,,MA,01778,88.6,A-,100.0,74.8,83.1,87.0,85.8,85.2,14054.0,43.0,23.5,8.3,24.36,21,40,11,40,2026-04-02,12.49,21.7,21.7,21.7,782500.0,387,2,0,14.83,967.04,increasing,637500,782500,4
6,Lincoln,Lincoln,,,MA,01773,88.5,A-,100.0,72.0,88.6,100.0,95.2,80.1,6996.0,45.9,16.3,9.9,12.64,11,21,5,40,2026-04-02,5.39,12.22,12.22,12.22,735000.0,483,1,0,12.31,753.99,increasing,430000,741000,9
7,Chestnut Hill,Chestnut Hill,"Boston Clg, Boston College",,MA,02467,88.3,A-,98.2,74.2,,,,,,52.2,12.1,10.0,30.55,24,58,15,40,2026-04-02,16.21,25.25,25.25,25.25,630000.0,559,21,23,9.69,508.72,stable,560000,790000,-2
8,Newton Lower Falls,Newton Lower Falls,"Newton, Newton L F, Newtonville",Newton,MA,02462,88.1,A-,100.0,74.6,80.2,92.6,82.0,76.6,90700.0,51.9,12.7,10.0,20.89,19,22,11,2,2026-04-02,11.17,16.17,16.17,16.17,635000.0,546,1,0,12.1,640.29,stable,635000,635000,-1
9,Waltham,Waltham,South Waltham,,MA,02453,88.0,A-,100.0,85.8,53.4,58.0,65.3,61.8,65849.0,60.0,15.8,10.0,13.19,11,30,6,40,2026-04-02,6.34,12.65,12.65,12.65,435000.0,490,3,6,10.32,374.1,decreasing,422000,580000,5
10,Newton Upper Falls,Newton Upper Falls,"Newton, Newton U F",Newton,MA,02464,87.9,A-,100.0,73.9,80.2,92.6,82.0,76.6,90700.0,50.5,13.4,10.0,25.73,24,26,12,2,2026-04-02,12.99,19.45,19.45,19.45,657500.0,532,6,0,12.1,662.98,stable,434950,845000,-2
11,Lexington,Lexington,,,MA,02420,87.5,A-,100.0,70.3,86.1,91.8,88.5,85.6,34743.0,53.8,6.6,9.9,9.89,8,17,3,40,2026-04-02,3.62,9.47,9.47,9.47,603500.0,668,1,1,12.31,619.09,stable,410000,900000,-5
12,Waltham,Waltham,North Waltham,,MA,02451,87.4,A-,100.0,84.1,53.4,58.0,65.3,61.8,65849.0,59.7,14.4,10.0,13.19,11,30,6,40,2026-04-02,6.34,12.65,12.65,12.65,505000.0,512,4,2,10.32,434.3,decreasing,455000,600500,4
13,Waltham,Waltham,North Waltham,,MA,02452,86.9,A-,100.0,82.5,53.4,58.0,65.3,61.8,65849.0,60.0,12.6,10.0,13.19,11,30,6,40,2026-04-02,6.34,12.65,12.65,12.65,409000.0,549,6,0,10.32,351.74,stable,408000,478500,6
