Rank,Town,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
1,Dedham,MA,02026,81.6,B+,100.0,69.1,49.7,16.1,83.9,92.8,25485.0,40.1,19.1,9.9,29.07,22,52,17,39,2026-04-02,17.95,23.57,23.57,23.57,850000.0,445,35,16,12.3,871.25,increasing,770000,860000,1
2,Newton,MA,02464,81.5,B+,100.0,59.2,71.7,59.5,61.8,82.9,90700.0,41.5,7.6,10.0,26.68,20,56,15,39,2026-04-02,15.35,22.83,22.83,22.83,819500.0,647,4,1,9.69,661.75,decreasing,819500,2237500,3
3,Fayville,MA,01745,78.8,B,69.9,91.6,,,,,,58.8,24.2,8.6,39.02,30,70,24,39,2026-04-02,24.38,30.78,30.78,30.78,520000.0,377,1,1,14.36,622.27,decreasing,420000,639000,4
4,Waltham,MA,02451,77.9,B,100.0,72.6,16.4,14.8,15.5,48.7,65849.0,41.7,20.8,10.0,13.13,11,30,6,39,2026-04-02,6.34,12.65,12.65,12.65,813500.0,422,14,9,10.32,699.61,stable,785000,940000,-3
5,Watertown,MA,02472,77.8,B,100.0,67.8,27.3,29.3,25.0,42.4,35985.0,40.8,17.1,9.9,26.53,23,49,9,39,2026-04-02,10.61,24.07,24.07,24.07,837500.0,472,14,2,12.2,851.46,decreasing,837500,1126013,-1
6,Waltham,MA,02453,76.5,B,100.0,68.8,16.4,14.8,15.5,48.7,65849.0,45.1,13.7,10.0,13.13,11,30,6,39,2026-04-02,6.34,12.65,12.65,12.65,747500.0,527,4,3,10.32,642.85,decreasing,747500,1067500,-3
7,Westwood,MA,02090,76.0,B,83.9,57.9,91.8,69.1,89.1,82.6,16533.0,36.7,11.7,9.5,34.84,27,60,20,39,2026-04-02,20.79,28.23,28.23,28.23,900000.0,566,15,15,12.87,965.25,decreasing,900000,1416250,5
8,Hyde Park,MA,02136,73.7,B-,68.9,80.5,,,,,,49.4,21.2,9.8,39.33,32,65,23,39,2026-04-02,23.54,33.45,33.45,33.45,676250.0,417,24,16,12.4,698.79,stable,655000,740000,3
9,Roxbury,MA,02119,73.0,B-,54.3,99.8,,,,,,60.0,30.0,9.8,43.72,36,77,22,39,2026-04-02,24.42,37.68,37.68,37.68,460867.0,207,1,1,12.4,476.23,decreasing,460867,1220000,4
10,Ashland,MA,01721,71.9,B-,56.6,87.5,86.8,73.4,81.2,72.7,19391.0,51.3,26.6,9.6,43.03,33,76,26,39,2026-04-02,26.28,35.52,35.52,35.52,645000.0,346,18,5,12.71,683.16,decreasing,643000,815000,10
11,Roxbury,MA,02120,71.3,B-,54.3,95.6,,,,,,60.0,25.8,9.8,43.72,36,77,22,39,2026-04-02,24.42,37.68,37.68,37.68,467120.0,356,1,0,12.4,482.69,decreasing,467120,863000,4
12,Framingham,MA,01702,69.8,C+,72.9,92.8,5.9,4.6,7.6,16.8,73361.0,52.8,30.0,10.0,38.13,32,60,22,39,2026-04-02,18.78,35.32,35.32,35.32,620000.0,282,11,7,11.83,611.22,stable,579900,780000,-6
13,Berlin,MA,01503,69.2,C+,60.5,75.3,84.2,90.6,95.4,21.1,3479.0,37.0,29.6,8.8,41.85,36,74,28,39,2026-04-02,28.61,37.9,37.9,37.9,896750.0,305,8,1,14.06,1050.69,decreasing,702320,1150000,9
14,Canton,MA,02021,67.0,C+,69.3,70.7,50.7,29.9,47.4,84.2,25163.0,39.5,21.1,10.0,39.21,30,69,25,39,2026-04-02,25.39,31.28,31.28,31.28,860000.0,418,19,11,9.75,698.75,increasing,765000,882500,4
15,Framingham,MA,01701,66.4,C+,72.9,82.9,5.9,4.6,7.6,16.8,73361.0,46.8,26.1,10.0,38.13,32,60,22,39,2026-04-02,18.78,35.32,35.32,35.32,720000.0,352,60,26,11.83,709.8,stable,660000,815000,-7
16,Everett,MA,02149,66.1,C+,70.1,83.9,11.5,4.9,40.1,7.2,51825.0,52.7,21.5,9.7,38.98,30,73,20,39,2026-04-02,20.37,32.85,32.85,32.85,622000.0,413,17,6,12.62,654.14,stable,622000,700000,-7
17,Roslindale,MA,02131,66.0,C+,62.7,70.8,,,,,,44.6,16.3,9.8,41.19,34,69,19,39,2026-04-02,19.66,34.85,34.85,34.85,755890.0,482,11,6,12.4,781.09,increasing,662500,935000,6
18,Dorchester,MA,02121,65.4,C+,47.6,90.8,,,,,,51.0,30.0,9.8,47.13,38,79,22,39,2026-04-02,22.1,39.5,39.5,39.5,650000.0,274,3,0,12.4,671.67,increasing,400000,815000,7
19,Sharon,MA,02067,64.8,C,48.7,73.9,97.0,79.9,95.4,90.8,18762.0,44.3,22.8,6.8,46.2,37,75,30,39,2026-04-02,30.34,37.18,37.18,37.18,761000.0,396,29,16,17.15,1087.6,decreasing,735000,935000,32
20,Boston,MA,02128,64.7,C,79.2,66.1,12.8,7.6,20.4,26.6,673458.0,41.9,14.3,9.8,36.25,28,75,21,39,2026-04-02,21.54,28.82,28.82,28.82,805000.0,513,4,6,12.4,831.83,increasing,616312,840000,-10
21,Walpole,MA,02081,64.4,C,49.8,79.5,77.6,58.6,76.3,77.3,26391.0,45.1,24.6,9.8,45.15,37,74,26,39,2026-04-02,26.45,38.28,38.28,38.28,747500.0,372,20,16,12.45,775.53,stable,730000,850000,15
22,Mattapan,MA,02126,63.8,C,46.4,88.7,,,,,,53.1,25.8,9.8,48.25,40,78,22,39,2026-04-02,28.33,40.7,40.7,40.7,615000.0,356,8,2,12.4,635.5,stable,615000,699000,7
23,Upton,MA,01568,63.5,C,41.5,89.6,75.7,69.7,83.6,50.3,8475.0,50.5,29.7,9.4,52.61,42,87,36,39,2026-04-02,36.42,44.25,44.25,44.25,657500.0,304,10,5,13.08,716.68,increasing,602500,837500,15
24,Dorchester,MA,02125,63.2,C,47.6,85.6,,,,,,54.0,21.8,9.8,47.13,38,79,22,39,2026-04-02,22.1,39.5,39.5,39.5,600000.0,409,5,0,12.4,620.0,decreasing,420000,1300000,9
25,Dorchester,MA,02122,62.5,C,47.6,83.8,,,,,,53.4,20.6,9.8,47.13,38,79,22,39,2026-04-02,22.1,39.5,39.5,39.5,610000.0,426,1,3,12.4,630.33,decreasing,610000,1063750,10
26,Hudson,MA,01749,62.5,C,60.2,82.5,23.7,11.8,62.5,23.4,20364.0,50.2,23.6,8.7,41.94,37,68,19,39,2026-04-02,20.37,39.27,39.27,39.27,662500.0,386,19,12,14.14,780.65,increasing,600000,682500,-7
27,Norwood,MA,02062,62.4,C,66.9,74.5,19.1,26.3,14.8,37.5,31764.0,45.3,19.2,10.0,39.94,32,67,24,39,2026-04-02,24.07,33.02,33.02,33.02,745000.0,444,33,10,9.82,609.66,stable,720000,787500,-10
28,Chelsea,MA,02150,61.8,C,62.4,86.7,2.0,2.6,2.3,10.9,40245.0,50.9,25.8,10.0,41.29,31,71,24,39,2026-04-02,22.42,34.92,34.92,34.92,652500.0,356,2,0,11.48,624.22,stable,590500,902500,-14
29,Holbrook,MA,02343,61.8,C,40.6,89.7,67.4,60.5,65.5,55.3,11475.0,56.0,23.7,10.0,53.46,42,87,34,39,2026-04-02,34.24,43.05,43.05,43.05,567000.0,384,14,10,12.11,572.2,increasing,520000,572500,11
30,Northbridge,MA,01534,61.6,C,36.5,97.9,60.9,52.3,71.7,37.2,16719.0,57.9,30.0,10.0,57.12,47,92,39,39,2026-04-02,39.03,48.82,48.82,48.82,535000.0,284,9,17,11.63,518.5,stable,470000,737500,7
31,Millis,MA,02054,61.4,C,43.4,80.5,76.6,54.6,95.4,41.4,9338.0,45.8,26.8,8.0,50.94,43,80,29,39,2026-04-02,29.39,45.9,45.9,45.9,737500.0,343,15,11,15.31,940.93,increasing,650000,796000,22
32,Marlborough,MA,01752,60.9,C,54.8,92.6,7.2,13.5,5.3,17.1,42169.0,53.5,29.0,10.0,43.57,37,74,28,39,2026-04-02,21.98,39.8,39.8,39.8,607500.0,313,50,21,10.54,533.59,decreasing,580000,650000,-16
33,Avon,MA,02322,60.7,C,47.5,89.7,36.8,14.5,50.3,92.1,4801.0,55.4,25.1,9.2,47.22,36,82,31,39,2026-04-02,31.51,36.65,36.65,36.65,576000.0,366,6,0,13.35,640.8,increasing,542500,655000,-6
34,Revere,MA,02151,59.8,C-,52.1,83.8,29.6,48.4,14.1,71.7,60702.0,52.8,21.0,10.0,44.38,34,91,25,39,2026-04-02,25.71,35.62,35.62,35.62,620000.0,420,28,6,8.94,461.9,stable,620000,697500,-8
35,Randolph,MA,02368,59.6,C-,48.0,94.0,18.1,22.7,12.8,54.3,35114.0,55.8,28.2,10.0,46.78,35,80,29,39,2026-04-02,29.75,36.82,36.82,36.82,570000.0,324,39,14,11.58,550.05,stable,549000,625000,-14
36,Roxbury,MA,02132,59.6,C-,54.3,67.2,,,,,,41.1,16.3,9.8,43.72,36,77,22,39,2026-04-02,24.42,37.68,37.68,37.68,830000.0,483,31,11,12.4,857.67,stable,830000,950000,5
37,Walpole,MA,02032,59.3,C-,49.8,64.9,77.6,58.6,76.3,77.3,26391.0,41.5,13.6,9.8,45.15,37,74,26,39,2026-04-02,26.45,38.28,38.28,38.28,820500.0,528,1,2,12.45,851.27,increasing,590000,1299000,22
38,Holliston,MA,01746,59.2,C-,43.0,82.3,59.5,66.8,48.7,48.4,15347.0,46.5,27.1,8.6,51.32,43,86,27,39,2026-04-02,25.13,46.87,46.87,46.87,725000.0,338,25,9,14.29,863.35,decreasing,675000,784500,10
39,Southborough,MA,01772,58.8,C-,56.8,78.5,19.4,75.3,69.7,1.3,10569.0,42.7,27.2,8.6,42.95,34,75,26,39,2026-04-02,26.32,35.78,35.78,35.78,788000.0,337,16,11,14.36,942.97,decreasing,734500,1347500,-15
40,Mansfield,MA,02048,58.5,C-,48.6,84.8,30.3,51.0,22.0,32.2,24077.0,49.1,26.3,9.4,46.27,46,46,38,1,2026-04-02,38.72,40.87,40.87,40.87,681250.0,349,22,12,13.09,743.13,decreasing,681250,775000,New
41,Medway,MA,02053,57.8,C-,39.7,84.6,55.9,30.6,65.8,72.0,13836.0,48.6,27.2,8.8,54.28,47,85,31,39,2026-04-02,31.65,49.03,49.03,49.03,690000.0,337,22,11,14.0,805.0,decreasing,595000,865000,14
42,Stoughton,MA,02072,57.4,C-,45.0,90.3,22.0,27.6,16.4,49.0,29457.0,52.4,28.0,10.0,49.48,40,81,29,39,2026-04-02,29.32,41.12,41.12,41.12,627500.0,327,40,15,11.81,617.56,stable,565000,702500,-10
43,Dorchester,MA,02124,57.2,C-,47.6,71.0,,,,,,42.4,18.8,9.8,47.13,38,79,22,39,2026-04-02,22.1,39.5,39.5,39.5,793000.0,450,12,8,12.4,819.43,decreasing,750000,902500,14
44,Hopkinton,MA,01748,56.9,C-,48.5,74.6,43.8,33.2,45.4,46.7,19971.0,38.6,27.3,8.7,46.36,36,82,32,39,2026-04-02,32.62,38.27,38.27,38.27,875000.0,336,15,17,14.1,1028.12,decreasing,850000,1130000,3
45,Milford,MA,01757,56.6,C-,41.6,95.1,17.1,31.6,8.6,46.1,30640.0,55.5,30.0,9.6,52.6,43,90,37,39,2026-04-02,37.26,44.7,44.7,44.7,575000.0,278,29,8,12.69,608.06,stable,549000,595000,-14
46,Winthrop,MA,02152,56.6,C-,45.4,79.2,41.4,47.7,27.6,57.9,18739.0,47.1,22.1,10.0,49.17,39,91,26,39,2026-04-02,26.62,41.22,41.22,41.22,715000.0,405,15,5,11.14,663.76,increasing,650000,800000,0
