Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
1,Lincoln,Lincoln,,,MA,01773,91.0,A,100.0,79.1,88.6,100.0,95.2,80.1,6996.0,39.8,29.5,9.9,12.64,11,21,5,40,2026-04-02,5.39,12.22,12.22,12.22,855500.0,307,4,1,12.31,877.6,increasing,673500,925000,5
2,Wayland,Wayland,,,MA,01778,88.9,A-,100.0,75.6,83.1,87.0,85.8,85.2,14054.0,41.9,25.3,8.3,24.36,21,40,11,40,2026-04-02,12.49,21.7,21.7,21.7,805000.0,362,9,3,14.83,994.85,decreasing,695000,1225000,1
3,Dedham,Dedham,,,MA,02026,88.7,A-,100.0,86.4,56.5,54.9,62.1,72.0,25485.0,60.0,16.5,9.9,29.09,22,52,17,40,2026-04-02,17.95,23.57,23.57,23.57,488500.0,480,6,2,12.3,500.71,decreasing,445000,850000,-2
4,Bedford,Bedford,,,MA,01730,86.8,A-,100.0,66.7,89.9,98.9,87.7,87.4,14955.0,37.5,19.4,9.8,10.28,8,26,3,40,2026-04-02,3.72,9.55,9.55,9.55,890000.0,441,7,2,12.49,926.34,stable,580000,950000,-2
5,Waltham,Waltham,North Waltham,,MA,02451,86.6,A-,100.0,81.7,53.4,58.0,65.3,61.8,65849.0,45.3,26.3,10.0,13.19,11,30,6,40,2026-04-02,6.34,12.65,12.65,12.65,744500.0,349,2,0,10.32,640.27,increasing,481000,999900,3
6,Needham Heights,Needham Heights,"Needham, Needham Hgts",Needham,MA,02494,85.9,A-,100.0,68.2,80.5,92.9,79.2,78.3,32931.0,44.1,14.1,10.0,25.57,23,27,14,2,2026-04-02,14.17,19.93,19.93,19.93,765000.0,518,2,5,12.1,771.38,decreasing,765000,1490000,-2
7,Waltham,Waltham,North Waltham,,MA,02452,85.1,A-,100.0,77.4,53.4,58.0,65.3,61.8,65849.0,48.3,19.1,10.0,13.19,11,30,6,40,2026-04-02,6.34,12.65,12.65,12.65,695000.0,445,2,0,10.32,597.7,decreasing,560000,825000,2
8,Waltham,Waltham,South Waltham,,MA,02453,83.8,B+,100.0,73.6,53.4,58.0,65.3,61.8,65849.0,43.5,20.0,10.0,13.19,11,30,6,40,2026-04-02,6.34,12.65,12.65,12.65,774383.0,433,11,7,10.32,665.97,decreasing,751000,1086250,3
9,Dover,Dover,,,MA,02030,82.6,B+,85.9,80.3,76.9,80.7,80.7,80.7,6057.0,41.8,28.4,10.0,34.23,28,60,21,40,2026-04-02,17.59,29.93,29.93,29.93,810000.0,321,1,0,11.19,755.32,increasing,650000,810000,-4
10,Weston,Weston,,,MA,02493,82.1,B+,100.0,57.6,79.9,88.7,67.6,86.6,11827.0,38.8,8.8,10.0,18.13,14,38,9,40,2026-04-02,9.21,15.53,15.53,15.53,872100.0,623,4,0,10.88,790.7,decreasing,425700,1247500,0
11,Watertown,Watertown,"E Watertown, East Watertown",,MA,02472,81.8,B+,100.0,64.8,61.0,72.2,84.3,55.2,35985.0,37.8,17.0,9.9,26.53,23,49,9,40,2026-04-02,10.61,24.07,24.07,24.07,885000.0,473,9,9,12.2,899.75,decreasing,855000,1087500,1
12,Westwood,Westwood,,,MA,02090,79.9,B,84.0,75.7,76.2,95.0,80.8,67.6,16533.0,38.9,27.3,9.5,34.8,27,60,20,40,2026-04-02,20.79,28.23,28.23,28.23,870000.0,336,1,0,12.87,933.08,decreasing,870000,1280762,-5
