Rank,Town,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Price_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
1,Newton,MA,02464,100.0,A+,100.0,100.0,90.0,10.0,26.84,20,56,15,34,2026-03-25,470000.0,637,3,3,9.69,379.52,decreasing,434950,1407000,3
2,Reading,MA,01867,100.0,A+,100.0,100.0,90.0,10.0,26.71,20,61,13,34,2026-03-25,470000.0,491,11,6,10.96,429.27,decreasing,470000,915000,3
3,Waltham,MA,02451,99.9,A+,100.0,99.8,89.8,10.0,13.15,11,30,6,34,2026-03-25,502500.0,643,6,3,10.32,432.15,decreasing,502500,1112500,-1
4,Chelmsford,MA,01863,99.7,A+,100.0,99.3,90.0,9.3,25.77,19,60,15,34,2026-03-25,442000.0,367,13,5,13.27,488.78,decreasing,275000,650000,-1
5,Acton,MA,01718,99.0,A+,100.0,97.4,90.0,7.4,28.69,24,54,13,34,2026-03-25,450000.0,256,5,1,16.23,608.62,stable,417500,555000,-4
6,Chelmsford,MA,01824,97.4,A+,100.0,93.4,84.2,9.3,25.77,19,60,15,34,2026-03-25,565000.0,129,1,0,13.27,624.8,decreasing,389900,703000,0
7,Maynard,MA,01754,95.8,A+,100.0,89.5,82.4,7.1,28.67,25,45,13,34,2026-03-25,585000.0,387,34,15,16.62,810.22,decreasing,455000,705000,0
8,Medford,MA,02155,95.0,A,100.0,87.4,77.4,10.0,26.7,20,50,15,34,2026-03-25,640000.0,522,37,29,8.63,460.27,decreasing,640000,1075000,0
9,Billerica,MA,01862,93.4,A,100.0,83.4,73.4,10.0,20.24,17,46,7,34,2026-03-25,685000.0,351,19,6,11.61,662.74,increasing,200000,880000,0
10,Tewksbury,MA,01876,92.7,A,90.4,96.2,86.5,9.7,32.89,28,70,16,34,2026-03-25,538500.0,365,20,3,12.56,563.63,decreasing,409000,714175,11
11,Billerica,MA,01821,92.4,A,100.0,81.1,71.1,10.0,20.24,17,46,7,34,2026-03-25,709500.0,351,64,18,11.61,686.44,increasing,315000,730000,-1
12,Lincoln,MA,01773,91.7,A,100.0,79.3,69.4,9.9,12.71,11,21,5,34,2026-03-25,728500.0,456,2,0,12.31,747.32,decreasing,675000,1595000,-1
13,Dedham,MA,02026,90.6,A,100.0,76.5,66.6,9.9,29.1,22,52,17,34,2026-03-25,760000.0,445,4,1,12.3,779.0,increasing,515000,1249697,-1
14,Newton,MA,02459,90.4,A,100.0,75.9,65.9,10.0,26.84,20,56,15,34,2026-03-25,767500.0,582,2,2,9.69,619.76,decreasing,744000,1925000,0
15,Reading,MA,01864,90.3,A,100.0,75.8,65.8,10.0,26.71,20,61,13,34,2026-03-25,769000.0,441,59,23,10.96,702.35,decreasing,507500,950000,0
16,Wilmington,MA,01887,90.3,A,100.0,75.7,65.7,10.0,26.55,19,62,15,34,2026-03-25,770000.0,421,40,8,11.41,732.14,stable,525000,784950,-3
17,Woburn,MA,01801,89.4,A-,100.0,73.5,63.5,10.0,19.97,15,41,9,34,2026-03-25,795000.0,334,4,1,9.15,606.19,increasing,568900,927450,-1
18,Boxborough,MA,01719,88.7,A-,82.6,97.9,90.0,7.9,35.21,29,56,16,34,2026-03-25,220000.0,265,3,9,15.39,282.15,decreasing,220000,894000,7
19,Allston,MA,02134,88.5,A-,96.4,76.7,66.9,9.8,31.09,25,56,19,34,2026-03-25,757000.0,581,2,3,12.4,782.23,decreasing,399000,1600000,3
20,Burlington,MA,01803,87.8,A-,100.0,69.5,59.5,10.0,16.26,13,33,7,34,2026-03-25,857750.0,386,6,2,8.69,621.15,stable,470000,875000,-3
21,Lowell,MA,01850,87.8,A-,79.7,100.0,90.0,10.0,36.1,28,82,18,34,2026-03-25,312500.0,290,4,4,11.35,295.57,decreasing,312500,712500,7
22,Lowell,MA,01854,87.8,A-,79.7,100.0,90.0,10.0,36.1,28,82,18,34,2026-03-25,308000.0,307,17,7,11.35,291.32,decreasing,308000,701000,5
23,Lowell,MA,01851,87.3,A-,79.7,98.7,88.7,10.0,36.1,28,82,18,34,2026-03-25,515000.0,341,15,10,11.35,487.1,stable,302500,730000,6
24,Watertown,MA,02472,87.1,A-,100.0,67.8,57.8,9.9,26.75,23,49,9,34,2026-03-25,875000.0,501,81,30,12.2,889.58,decreasing,608000,1200000,-5
25,Acton,MA,01720,86.3,A-,100.0,65.7,58.3,7.4,28.69,24,54,13,34,2026-03-25,870000.0,363,77,20,16.23,1176.68,stable,318500,2010000,-7
26,Waltham,MA,02453,86.0,A-,100.0,65.0,55.0,10.0,13.15,11,30,6,34,2026-03-25,900000.0,323,6,1,10.32,774.0,decreasing,422000,1050000,-6
27,Methuen,MA,01844,85.6,A-,76.0,100.0,90.0,10.0,37.21,29,83,26,34,2026-03-25,425000.0,322,15,4,10.4,368.33,decreasing,382500,776500,4
28,Peabody,MA,01960,85.1,A-,80.6,91.9,81.9,10.0,35.82,25,76,20,34,2026-03-25,590000.0,318,12,2,9.47,465.61,decreasing,417000,855000,2
29,Littleton,MA,01460,85.0,A-,91.8,74.9,66.2,8.8,32.45,26,56,16,34,2026-03-25,765000.0,494,1,0,14.02,893.78,decreasing,725000,830000,-5
30,Stow,MA,01775,84.8,B+,89.4,77.8,71.5,6.3,33.17,28,53,15,34,2026-03-25,706000.0,321,9,6,17.87,1051.35,decreasing,685000,1021500,-7
31,Malden,MA,02148,84.5,B+,75.0,98.7,88.7,10.0,37.51,29,71,16,34,2026-03-25,515000.0,342,3,5,11.4,489.25,decreasing,400000,967500,4
32,Harvard,MA,01451,84.0,B+,82.7,85.9,78.3,7.6,35.19,30,63,21,34,2026-03-25,630000.0,333,2,1,15.87,833.18,decreasing,497905,923200,-6
33,Framingham,MA,01702,83.5,B+,72.5,100.0,90.0,10.0,38.24,32,60,22,34,2026-03-25,270000.0,357,11,9,11.83,266.18,decreasing,220000,729500,1
34,Boston,MA,02128,82.8,B+,78.0,89.9,80.1,9.8,36.61,28,75,21,34,2026-03-25,610000.0,676,2,4,12.4,630.33,decreasing,490000,1032500,-2
35,Ayer,MA,01432,81.9,B+,69.9,100.0,90.0,10.0,39.04,33,71,23,34,2026-03-25,194400.0,345,1,0,11.59,187.76,decreasing,194400,750000,6
36,Dracut,MA,01826,81.6,B+,72.6,95.1,85.1,10.0,38.23,31,85,19,34,2026-03-25,554950.0,320,96,32,9.67,447.2,increasing,326500,670000,6
37,Nashua,NH,03064,81.4,B+,71.0,97.0,90.0,7.0,38.69,31,85,28,34,2026-03-25,500000.0,275,39,14,16.83,701.25,increasing,437000,625100,3
38,Nashua,NH,03063,81.4,B+,71.0,97.0,90.0,7.0,38.69,31,85,28,34,2026-03-25,444250.0,284,46,11,16.83,623.06,increasing,354500,609950,1
39,Everett,MA,02149,80.9,B+,68.3,99.7,90.0,9.7,39.51,30,73,20,34,2026-03-25,325000.0,466,3,6,12.62,341.79,decreasing,325000,899950,6
40,Lowell,MA,01852,80.4,B+,79.7,81.4,71.4,10.0,36.1,28,82,18,34,2026-03-25,706500.0,231,10,4,11.35,668.23,increasing,309999,706500,-4
41,Boston,MA,02215,80.2,B+,78.0,83.6,73.8,9.8,36.61,28,75,21,34,2026-03-25,680000.0,905,19,18,12.4,702.67,stable,631500,715000,-4
42,Fayville,MA,01745,80.1,B+,69.0,96.8,88.2,8.6,39.31,30,70,24,34,2026-03-25,520000.0,377,1,0,14.36,622.27,stable,420000,639000,5
43,Boston,MA,02113,79.8,B,78.0,82.4,72.6,9.8,36.61,28,75,21,34,2026-03-25,693000.0,936,16,9,12.4,716.1,increasing,575000,1705000,-5
44,Norwood,MA,02062,79.7,B,66.1,100.0,90.0,10.0,40.17,32,67,24,34,2026-03-25,396000.0,393,6,2,9.82,324.06,decreasing,396000,875000,4
45,Canton,MA,02021,79.2,B,68.3,95.6,85.6,10.0,39.51,30,69,25,34,2026-03-25,549000.0,484,21,23,9.75,446.06,decreasing,549000,975000,4
46,Nashua,NH,03060,78.8,B,71.0,90.4,83.4,7.0,38.69,31,85,28,34,2026-03-25,573766.5,254,12,3,16.83,804.71,increasing,262533,582000,-3
47,Nashua,NH,03062,78.4,B,71.0,89.6,82.6,7.0,38.69,31,85,28,34,2026-03-25,582500.0,297,80,23,16.83,816.96,increasing,430000,675000,-3
48,Somerville,MA,02144,77.9,B,84.9,67.3,57.3,10.0,34.54,28,64,12,34,2026-03-25,879950.0,699,20,11,10.98,805.15,decreasing,879950,1950000,-15
49,Chelsea,MA,02150,76.6,B,61.3,99.5,89.5,10.0,41.62,31,71,24,34,2026-03-25,506000.0,399,36,24,11.48,484.07,stable,409000,1005000,9
50,Lawrence,MA,01840,76.5,B,60.8,100.0,90.0,10.0,41.77,34,87,27,34,2026-03-25,489000.0,314,2,8,8.64,352.08,increasing,320000,505000,6
51,Lawrence,MA,01841,76.5,B,60.8,100.0,90.0,10.0,41.77,34,87,27,34,2026-03-25,354000.0,376,4,2,8.64,254.88,decreasing,245000,807500,4
52,Lawrence,MA,01843,76.5,B,60.8,100.0,90.0,10.0,41.77,34,87,27,34,2026-03-25,250000.0,371,4,1,8.64,180.0,decreasing,250000,880000,5
53,Boston,MA,02127,75.5,B,78.0,71.7,61.9,9.8,36.61,28,75,21,34,2026-03-25,827500.0,807,70,51,12.4,855.08,decreasing,770000,1510500,-7
54,Danvers,MA,01923,75.1,B,70.9,81.5,71.5,10.0,38.73,29,83,23,34,2026-03-25,705000.0,353,36,9,10.65,625.69,increasing,345000,775000,-2
55,Saugus,MA,01906,74.7,B-,76.1,72.5,62.5,10.0,37.18,28,74,22,34,2026-03-25,815000.0,358,4,1,10.42,707.69,increasing,365000,815000,-5
56,Framingham,MA,01701,73.4,B-,72.5,74.8,64.8,10.0,38.24,32,60,22,34,2026-03-25,780000.0,288,1,0,11.83,768.95,increasing,257000,1238000,-5
57,Beverly,MA,01915,73.2,B-,61.8,90.3,80.3,10.0,41.46,30,85,30,34,2026-03-25,607497.5,419,8,4,10.81,547.25,increasing,376750,815500,3
58,Berlin,MA,01503,71.8,B-,59.7,90.0,81.3,8.8,42.09,36,74,28,34,2026-03-25,597000.0,321,2,0,14.06,699.48,decreasing,575000,967500,1
59,Middleton,MA,01949,71.6,B-,71.6,71.7,62.0,9.7,38.52,30,79,19,34,2026-03-25,825000.0,367,14,14,12.59,865.56,increasing,434950,1200000,-5
60,Roxbury,MA,02120,71.4,B-,53.6,98.1,88.3,9.8,43.92,36,77,22,34,2026-03-25,519000.0,547,3,0,12.4,536.3,decreasing,519000,2220000,8
61,Lancaster,MA,01523,71.0,B-,56.6,92.5,85.5,7.0,43.01,37,76,28,34,2026-03-25,550000.0,284,15,7,16.9,774.58,stable,416000,718500,3
62,Leominster,MA,01453,70.8,B-,52.0,99.0,90.0,9.0,44.41,37,76,28,34,2026-03-25,245000.0,236,5,4,13.66,278.89,decreasing,245000,597500,5
63,Roslindale,MA,02131,70.6,B-,61.9,83.6,73.8,9.8,41.42,34,69,19,34,2026-03-25,680500.0,485,56,19,12.4,703.18,decreasing,521500,1049000,-1
64,Dunstable,MA,01827,70.5,B-,71.8,68.6,59.4,9.2,38.45,31,85,25,34,2026-03-25,859000.0,294,9,3,13.39,958.5,stable,781250,880000,-11
65,Hudson,NH,03051,70.1,B-,60.7,84.2,77.4,6.8,41.79,34,91,29,34,2026-03-25,640000.0,300,41,17,17.11,912.53,stable,370000,719500,-2
66,Hudson,MA,01749,68.9,C+,59.5,83.0,74.2,8.7,42.14,37,68,19,34,2026-03-25,675000.0,340,39,13,14.14,795.38,increasing,275000,685000,-1
67,Dorchester,MA,02121,68.3,C+,47.3,99.8,90.0,9.8,47.45,38,79,22,34,2026-03-25,465000.0,442,4,3,12.4,480.5,decreasing,465000,1025000,6
68,Lynn,MA,01905,68.3,C+,47.1,100.0,90.0,10.0,47.6,37,92,22,34,2026-03-25,438750.0,260,2,5,10.3,376.59,decreasing,340000,1035000,10
69,Lynn,MA,01901,68.3,C+,47.1,100.0,90.0,10.0,47.6,37,92,22,34,2026-03-25,375000.0,395,3,4,10.3,321.88,increasing,312000,390000,8
70,Lynn,MA,01904,68.3,C+,47.1,100.0,90.0,10.0,47.6,37,92,22,34,2026-03-25,295000.0,419,5,4,10.3,253.21,decreasing,295000,920000,9
71,Salem,NH,03079,68.1,C+,49.4,96.2,90.0,6.2,45.54,37,95,31,34,2026-03-25,472466.5,343,14,6,18.16,715.0,decreasing,472466,1100000,-2
72,Clinton,MA,01510,67.8,C+,46.8,99.4,90.0,9.4,47.92,41,81,28,34,2026-03-25,430000.0,272,41,21,12.98,465.12,increasing,335000,706000,2
73,Haverhill,MA,01830,67.8,C+,46.3,100.0,90.0,10.0,48.35,40,95,37,34,2026-03-25,314000.0,362,7,4,10.61,277.63,decreasing,303500,747500,8
74,Salem,MA,01970,67.6,C+,52.0,91.1,81.1,10.0,44.39,33,90,23,34,2026-03-25,599000.0,409,113,39,10.78,538.1,decreasing,524900,975000,2
75,Dorchester,MA,02122,67.2,C+,47.3,97.1,87.3,9.8,47.45,38,79,22,34,2026-03-25,530000.0,513,19,18,12.4,547.67,decreasing,520000,1200000,7
76,Bolton,MA,01740,67.0,C+,66.2,68.2,62.0,6.2,40.15,33,68,24,34,2026-03-25,825000.0,306,25,12,18.07,1242.31,increasing,244936,1050000,-15
77,Southborough,MA,01772,67.0,C+,55.9,83.7,75.2,8.6,43.22,34,75,26,34,2026-03-25,665000.0,350,17,12,14.36,795.78,decreasing,550000,1070000,-5
78,Groton,MA,01450,66.9,C+,64.4,70.7,62.4,8.3,40.68,34,80,26,34,2026-03-25,818000.0,326,20,13,14.78,1007.5,stable,500000,1064213,-12
79,Northborough,MA,01532,66.9,C+,45.9,98.3,90.0,8.3,48.67,42,84,33,34,2026-03-25,450000.0,331,9,3,14.82,555.75,decreasing,386500,1095000,1
80,Stoughton,MA,02072,66.7,C+,44.5,100.0,90.0,10.0,49.94,40,81,29,34,2026-03-25,313000.0,369,9,3,11.81,308.04,decreasing,313000,750000,6
81,Shirley,MA,01464,66.4,C+,49.7,91.4,81.5,9.8,45.27,38,77,26,34,2026-03-25,594000.0,180,1,1,12.39,613.3,decreasing,375000,650000,-6
82,Ashland,MA,01721,66.2,C+,55.6,82.1,72.5,9.6,43.31,33,76,26,34,2026-03-25,695000.0,340,2,2,12.71,736.12,increasing,507000,752500,1
83,Quincy,MA,02170,66.0,C+,43.3,100.0,90.0,10.0,51.02,39,87,31,34,2026-03-25,399000.0,559,5,0,11.78,391.68,decreasing,399000,931500,13
84,Roxbury,MA,02119,66.0,C+,53.6,84.5,74.7,9.8,43.92,36,77,22,34,2026-03-25,670000.0,522,23,21,12.4,692.33,decreasing,517000,1100000,0
85,Weymouth,MA,02189,65.9,C+,43.1,100.0,90.0,10.0,51.22,37,88,33,34,2026-03-25,412500.0,418,2,1,10.12,347.88,decreasing,303000,930000,12
